seed_gid,cluster_id,reachable_nodes,max_depth_reached,n_coordinator,n_consolidator,n_distributor,n_transit,n_terminal,n_peripheral,boundary_nodes,attention_nodes,top_reachable_gids
100000005386383100,20,3,3,0,1,0,0,0,2,0,2,100000005382566100;100000004041163100;100000005523088100
100000005392290100,70,1,1,0,0,0,0,1,0,0,0,100000003865939100
100000005395727100,16,0,0,0,0,0,0,0,0,0,0,
100000005409680100,18,0,0,0,0,0,0,0,0,0,0,
100000005417257100,20,3,2,0,0,0,0,0,3,0,0,100000008516839100;100000005394708100;100000008673001100
100000005454368100,14,0,0,0,0,0,0,0,0,0,0,
100000005480435100,82,0,0,0,0,0,0,0,0,0,0,
100000005485830100,47,5,1,0,0,0,0,5,0,0,0,100000005895525100;100000002462183100;100000005056870100;100000007175718100;100000005807278100
100000005493505100,14,0,0,0,0,0,0,0,0,0,0,
100000005495722100,83,0,0,0,0,0,0,0,0,0,0,
100000005498992100,3,323,4,7,17,10,6,134,149,86,52,100000008603629100;100000000437046100;100000000331309100;100000003115284100;100000001530983100
100000005519347100,5,1,1,0,0,0,0,0,1,0,0,100000004019124100
100000005523088100,20,0,0,0,0,0,0,0,0,0,0,
100000005543136100,14,1,1,0,0,0,0,0,1,0,0,100000005493505100
100000005550592100,84,0,0,0,0,0,0,0,0,0,0,
100000005560900100,85,0,0,0,0,0,0,0,0,0,0,
100000005568407100,86,0,0,0,0,0,0,0,0,0,0,
100000005668605100,20,0,0,0,0,0,0,0,0,0,0,
100000005744674100,20,3,3,0,1,0,0,0,2,0,2,100000005382566100;100000004041163100;100000005523088100
100000006232815100,30,12,3,0,0,0,0,6,6,0,2,100000001380054100;100000005077484100;100000003164661100;100000000703894100;100000004192865100
100000006249740100,54,3,1,0,0,0,0,3,0,0,1,100000006562026100;100000007347733100;100000008129393100
100000006831291100,54,1,1,0,0,0,0,1,0,0,1,100000006562026100
100000006866783100,1,1111,4,17,41,33,33,439,548,275,213,100000008603629100;100000000437046100;100000000331309100;100000008346837100;100000003115284100
100000007018630100,62,2,2,0,0,0,0,1,1,0,0,100000002371751100;100000000769919100
100000007747786100,11,96,4,0,5,0,5,50,36,5,22,100000004015047100;100000005514161100;100000002838861100;100000003265158100;100000002894076100
100000007982728100,9,132,4,1,6,3,5,56,61,33,26,100000008346837100;100000004015047100;100000005514161100;100000002838861100;100000007998965100
100000008117324100,87,0,0,0,0,0,0,0,0,0,0,
100000008205000100,88,0,0,0,0,0,0,0,0,0,0,
100000008314203100,41,5,2,0,1,0,0,1,3,0,3,100000003404627100;100000008637537100;100000001732159100;100000008232832100;100000005940652100
100000008418835100,16,231,4,5,7,8,13,109,89,3,64,100000008346837100;100000003115284100;100000001530983100;100000004156082100;100000005910114100
100000008513251100,89,0,0,0,0,0,0,0,0,0,0,
100000008516839100,20,0,0,0,0,0,0,0,0,0,0,
100000008522127100,64,129,4,3,12,10,3,43,58,35,33,100000008165763100;100000008547948100;100000008489922100;100000002398779100;100000008710791100
100000008571433100,53,4,2,0,0,0,2,1,1,0,3,100000004135268100;100000002738256100;100000004979498100;100000007507343100
100000008575624100,50,5,2,0,0,0,2,1,2,0,2,100000004331458100;100000004094958100;100000005546031100;100000005363908100;100000005547096100
100000008601794100,57,3,2,0,0,0,1,1,1,0,2,100000001872484100;100000000785800100;100000002459163100
100000008637537100,41,5,2,0,1,0,0,1,3,0,3,100000003404627100;100000001732159100;100000008314203100;100000008232832100;100000005940652100
100000008650785100,5,3,2,0,0,0,0,1,2,0,0,100000000817146100;100000005519347100;100000004019124100
100000008654653100,5,1,1,0,0,0,0,0,1,0,0,100000004019124100
100000008659445100,44,5,2,0,0,0,0,1,4,0,4,100000008736940100;100000008751429100;100000008193577100;100000005456919100;100000000307908100
100000008669037100,90,0,0,0,0,0,0,0,0,0,0,
100000008673001100,20,0,0,0,0,0,0,0,0,0,0,
100000008680731100,13,93,4,0,4,2,3,52,32,9,13,100000005242320100;100000005514161100;100000007998965100;100000003265158100;100000001282143100
100000008701222100,91,0,0,0,0,0,0,0,0,0,0,
100000008738325100,20,1,1,0,0,0,0,0,1,0,0,100000005668605100
