seed_gid,cluster_id,reachable_nodes,max_depth_reached,n_coordinator,n_consolidator,n_distributor,n_transit,n_terminal,n_peripheral,boundary_nodes,attention_nodes,top_reachable_gids
100000000343175100,12,72,4,0,4,0,3,34,31,6,26,100000003115284100;100000006889963100;100000003635170100;100000005382566100;100000002894076100
100000000456947100,73,0,0,0,0,0,0,0,0,0,0,
100000000580561100,45,5,2,0,0,0,0,3,2,0,2,100000007939160100;100000005183943100;100000003888271100;100000000955444100;100000007930878100
100000001415126100,20,0,0,0,0,0,0,0,0,0,0,
100000001429930100,14,0,0,0,0,0,0,0,0,0,0,
100000001616816100,9,6,2,0,1,0,0,4,1,0,2,100000004015047100;100000002605308100;100000001937767100;100000001904863100;100000004905207100
100000001732159100,41,5,2,0,1,0,0,1,3,0,3,100000003404627100;100000008637537100;100000008314203100;100000008232832100;100000005940652100
100000002527114100,2,269,4,0,0,2,3,250,14,4,11,100000002578405100;100000001697501100;100000001166289100;100000002733905100;100000003942602100
100000002916006100,20,1,1,0,0,0,0,0,1,0,0,100000008516839100
100000003016635100,5,580,4,15,28,20,17,235,265,101,146,100000008603629100;100000000437046100;100000000331309100;100000008346837100;100000003115284100
100000003200071100,69,1,1,0,0,0,0,1,0,0,0,100000003980083100
100000003265658100,74,0,0,0,0,0,0,0,0,0,0,
100000003349739100,75,0,0,0,0,0,0,0,0,0,0,
100000003684369100,4,120,4,0,2,0,3,77,38,4,14,100000003115284100;100000006889963100;100000003946524100;100000005074393100;100000007908818100
100000003770083100,76,0,0,0,0,0,0,0,0,0,0,
100000003975102100,5,7,3,0,1,0,0,1,5,0,2,100000005382566100;100000008650785100;100000004041163100;100000000817146100;100000005519347100
100000003977183100,9,10,4,0,1,0,0,6,3,0,4,100000004015047100;100000005778283100;100000001616816100;100000001937767100;100000002836736100
100000004007116100,26,16,4,0,1,1,0,6,8,1,4,100000004160650100;100000004144536100;100000002731501100;100000004005964100;100000003616818100
100000004019124100,5,0,0,0,0,0,0,0,0,0,0,
100000004021459100,77,0,0,0,0,0,0,0,0,0,0,
100000004041163100,20,2,1,0,1,0,0,0,1,0,1,100000005382566100;100000005523088100
100000004174835100,78,0,0,0,0,0,0,0,0,0,0,
100000004193835100,5,3,3,0,1,0,0,0,2,0,2,100000005382566100;100000004041163100;100000005523088100
100000004269433100,16,110,4,2,6,5,5,56,36,0,38,100000008346837100;100000003115284100;100000004156082100;100000006889963100;100000005287097100
100000004358004100,4,241,4,1,12,5,6,140,77,18,43,100000003115284100;100000008165763100;100000006889963100;100000008710791100;100000005527892100
100000004388983100,66,2,1,0,0,0,0,2,0,0,0,100000005034574100;100000007283257100
100000004714705100,20,2,2,0,0,0,0,0,2,0,0,100000005668605100;100000008738325100
100000004723755100,4,561,4,11,29,24,16,232,249,119,109,100000008603629100;100000000437046100;100000000331309100;100000008346837100;100000003115284100
100000004813068100,25,13,3,0,0,0,0,4,9,0,7,100000002224132100;100000004603109100;100000004892144100;100000001965374100;100000000594783100
100000004971871100,60,3,3,0,0,0,0,1,2,0,1,100000003148220100;100000006888238100;100000001852140100
100000005017150100,79,0,0,0,0,0,0,0,0,0,0,
100000005087431100,80,0,0,0,0,0,0,0,0,0,0,
100000005235389100,81,0,0,0,0,0,0,0,0,0,0,
100000005264990100,20,6,3,0,1,0,0,1,4,0,2,100000005382566100;100000004744306100;100000004041163100;100000008516839100;100000005523088100
100000005370580100,14,0,0,0,0,0,0,0,0,0,0,
100000005382566100,20,2,2,0,0,0,0,0,2,0,1,100000004041163100;100000005523088100
