cluster_id,flag,n_nodes,share_cluster,avg_priority_score,top_gids,meaning
1,cycle,41,0.148,0.658285,100000000437046100;100000008477350100;100000005910114100;100000004299488100;100000002957787100,узел входит в направленный возвратный поток
1,gives_more_than_received,40,0.1444,0.579718,100000000437046100;100000008477350100;100000005910114100;100000008731444100;100000002957787100,исходящий поток выше видимого входа
1,chain_transit,27,0.0975,0.751091,100000000437046100;100000008477350100;100000005910114100;100000008731444100;100000002398779100,узел является внутренним звеном сквозной цепочки
1,relay_route,11,0.0397,0.809645,100000000437046100;100000002398779100;100000004299488100;100000002957787100;100000004070318100,узел является посредником устойчивого маршрута пересылки
1,repeat_amount,11,0.0397,0.783074,100000000437046100;100000005910114100;100000004299488100;100000004400305100;100000004070318100,одна и та же сумма отправлялась многократно
1,near_threshold,9,0.0325,0.459943,100000002957787100;100000002293421100;100000004180097100;100000000646541100;100000004071070100,много входящих переводов у порога 5-10 тыс. KZT
1,sync_payers,8,0.0289,0.772993,100000000437046100;100000002398779100;100000004299488100;100000006866783100;100000007055802100,несколько разных плательщиков в один день
1,boundary_likely_continues,3,0.0108,0.268123,100000004652395100;100000008583971100;100000001202787100,граничный узел с вероятным скрытым исходящим продолжением
2,cycle,10,0.037,0.463502,100000002578405100;100000001697501100;100000002527114100;100000001166289100;100000002733905100,узел входит в направленный возвратный поток
2,gives_more_than_received,8,0.0296,0.434995,100000002578405100;100000001697501100;100000002527114100;100000002733905100;100000002214664100,исходящий поток выше видимого входа
2,repeat_amount,3,0.0111,0.640633,100000002578405100;100000001697501100;100000002527114100,одна и та же сумма отправлялась многократно
2,chain_transit,2,0.0074,0.563219,100000002578405100;100000008493007100,узел является внутренним звеном сквозной цепочки
2,near_threshold,1,0.0037,0.291157,100000004825069100,много входящих переводов у порога 5-10 тыс. KZT
3,gives_more_than_received,22,0.1392,0.625819,100000008547948100;100000008489922100;100000008710791100;100000008547844100;100000008517538100,исходящий поток выше видимого входа
3,cycle,14,0.0886,0.589149,100000008547948100;100000008489922100;100000008547844100;100000002838861100;100000008466579100,узел входит в направленный возвратный поток
3,sync_payers,7,0.0443,0.694845,100000008547948100;100000002718366100;100000002369874100;100000002547110100;100000002849158100,несколько разных плательщиков в один день
3,boundary_likely_continues,4,0.0253,0.294679,100000003037476100;100000003072205100;100000007034089100;100000007357489100,граничный узел с вероятным скрытым исходящим продолжением
3,chain_transit,4,0.0253,0.832872,100000008547948100;100000008489922100;100000008710791100;100000008561016100,узел является внутренним звеном сквозной цепочки
3,relay_route,2,0.0127,0.750147,100000008710791100;100000008561016100,узел является посредником устойчивого маршрута пересылки
3,repeat_amount,2,0.0127,0.815408,100000008489922100;100000008465789100,одна и та же сумма отправлялась многократно
