cluster_id,flag,n_nodes,share_cluster,avg_priority_score,top_gids,meaning
3,near_threshold,1,0.0063,0.206803,100000008190411100,много входящих переводов у порога 5-10 тыс. KZT
4,gives_more_than_received,23,0.1575,0.595977,100000008165763100;100000005612411100;100000008304139100;100000003684369100;100000004847758100,исходящий поток выше видимого входа
4,cycle,10,0.0685,0.651039,100000008304139100;100000003684369100;100000004847758100;100000003946524100;100000008748914100,узел входит в направленный возвратный поток
4,chain_transit,7,0.0479,0.729766,100000005612411100;100000008304139100;100000003684369100;100000004847758100;100000004140487100,узел является внутренним звеном сквозной цепочки
4,repeat_amount,4,0.0274,0.742348,100000003684369100;100000004847758100;100000007908818100;100000004140487100,одна и та же сумма отправлялась многократно
4,near_threshold,2,0.0137,0.595166,100000003249054100;100000001641951100,много входящих переводов у порога 5-10 тыс. KZT
4,relay_route,2,0.0137,0.858569,100000008304139100;100000004847758100,узел является посредником устойчивого маршрута пересылки
4,sync_payers,2,0.0137,0.885673,100000008165763100;100000003684369100,несколько разных плательщиков в один день
5,gives_more_than_received,25,0.1969,0.567068,100000001530983100;100000005287097100;100000006518161100;100000003016635100;100000000490383100,исходящий поток выше видимого входа
5,cycle,22,0.1732,0.570758,100000005287097100;100000006518161100;100000003016635100;100000004150593100;100000000667713100,узел входит в направленный возвратный поток
5,chain_transit,5,0.0394,0.726658,100000005287097100;100000003016635100;100000004150593100;100000000667713100;100000008636603100,узел является внутренним звеном сквозной цепочки
5,near_threshold,3,0.0236,0.638633,100000003016635100;100000003899899100;100000003886323100,много входящих переводов у порога 5-10 тыс. KZT
5,relay_route,3,0.0236,0.824307,100000006518161100;100000003016635100;100000004707703100,узел является посредником устойчивого маршрута пересылки
5,repeat_amount,2,0.0157,0.84642,100000005287097100;100000003016635100,одна и та же сумма отправлялась многократно
5,sync_payers,1,0.0079,0.825536,100000003016635100,несколько разных плательщиков в один день
6,gives_more_than_received,13,0.1032,0.620926,100000000331309100;100000000332284100;100000005665181100;100000008192264100;100000006111439100,исходящий поток выше видимого входа
6,cycle,6,0.0476,0.71031,100000000331309100;100000003741418100;100000005665181100;100000006111439100;100000003796063100,узел входит в направленный возвратный поток
6,near_threshold,6,0.0476,0.660031,100000000332284100;100000003741418100;100000005665181100;100000006111439100;100000008244300100,много входящих переводов у порога 5-10 тыс. KZT
6,chain_transit,3,0.0238,0.664424,100000000331309100;100000003796063100;100000004475818100,узел является внутренним звеном сквозной цепочки
6,sync_payers,3,0.0238,0.913617,100000000331309100;100000006889963100;100000000332284100,несколько разных плательщиков в один день
6,repeat_amount,1,0.0079,0.973932,100000000331309100,одна и та же сумма отправлялась многократно
7,gives_more_than_received,17,0.1604,0.624132,100000008603629100;100000001857829100;100000000661912100;100000002723538100;100000005048668100,исходящий поток выше видимого входа
7,cycle,13,0.1226,0.645543,100000008603629100;100000001857829100;100000000661912100;100000002723538100;100000005048668100,узел входит в направленный возвратный поток
7,chain_transit,8,0.0755,0.693176,100000008603629100;100000001857829100;100000002723538100;100000005048668100;100000003880331100,узел является внутренним звеном сквозной цепочки
7,relay_route,3,0.0283,0.707045,100000008603629100;100000003880331100;100000008121806100,узел является посредником устойчивого маршрута пересылки
7,repeat_amount,3,0.0283,0.766971,100000008603629100;100000003880331100;100000000413678100,одна и та же сумма отправлялась многократно
7,sync_payers,2,0.0189,0.963142,100000008603629100;100000001857829100,несколько разных плательщиков в один день
7,boundary_likely_continues,1,0.0094,0.268933,100000003230328100,граничный узел с вероятным скрытым исходящим продолжением
7,near_threshold,1,0.0094,0.37041,100000008097580100,много входящих переводов у порога 5-10 тыс. KZT
8,gives_more_than_received,7,0.1148,0.608995,100000005704413100;100000005578559100;100000008379273100;100000004569484100;100000008545727100,исходящий поток выше видимого входа
8,cycle,6,0.0984,0.663753,100000005704413100;100000005578559100;100000005473151100;100000008104567100;100000004569484100,узел входит в направленный возвратный поток
9,cycle,17,0.2787,0.476311,100000004015047100;100000005171642100;100000002692750100;100000001616816100;100000004221668100,узел входит в направленный возвратный поток
9,gives_more_than_received,13,0.2131,0.414268,100000008748408100;100000001616816100;100000003923946100;100000006664478100;100000003977183100,исходящий поток выше видимого входа
9,near_threshold,4,0.0656,0.390824,100000001616816100;100000003636627100;100000002391278100;100000001893287100,много входящих переводов у порога 5-10 тыс. KZT
9,repeat_amount,4,0.0656,0.519154,100000008748408100;100000002692750100;100000004221668100;100000001893287100,одна и та же сумма отправлялась многократно
10,gives_more_than_received,11,0.1833,0.50058,100000008512827100;100000005242320100;100000008742053100;100000004424023100;100000002748180100,исходящий поток выше видимого входа
10,sync_payers,3,0.05,0.626727,100000001282143100;100000002443664100;100000002956769100,несколько разных плательщиков в один день
10,boundary_likely_continues,1,0.0167,0.293069,100000005783452100,граничный узел с вероятным скрытым исходящим продолжением
11,cycle,8,0.1429,0.468224,100000005782781100;100000001677929100;100000000274067100;100000000031787100;100000000267734100,узел входит в направленный возвратный поток
11,gives_more_than_received,6,0.1071,0.483358,100000005782781100;100000001677929100;100000000274067100;100000001601320100;100000000267734100,исходящий поток выше видимого входа
11,repeat_amount,2,0.0357,0.334954,100000002958343100;100000007747786100,одна и та же сумма отправлялась многократно
11,sync_payers,2,0.0357,0.696505,100000002894076100;100000005782781100,несколько разных плательщиков в один день
12,cycle,11,0.2037,0.595972,100000003115284100;100000006707582100;100000003809101100;100000003390036100;100000004677680100,узел входит в направленный возвратный поток
12,gives_more_than_received,7,0.1296,0.615427,100000008730846100;100000000343175100;100000006707582100;100000004677680100;100000000976943100,исходящий поток выше видимого входа
12,chain_transit,5,0.0926,0.71735,100000003115284100;100000000343175100;100000003390036100;100000002941114100;100000003360542100,узел является внутренним звеном сквозной цепочки
12,sync_payers,2,0.037,0.933694,100000003115284100;100000008730846100,несколько разных плательщиков в один день
12,near_threshold,1,0.0185,0.595592,100000002941114100,много входящих переводов у порога 5-10 тыс. KZT
12,repeat_amount,1,0.0185,0.410331,100000005168487100,одна и та же сумма отправлялась многократно
13,cycle,11,0.2075,0.478215,100000001899164100;100000004386258100;100000002193259100;100000004386331100;100000008443341100,узел входит в направленный возвратный поток
13,gives_more_than_received,10,0.1887,0.478958,100000003265158100;100000002193259100;100000008443341100;100000000933075100;100000004420041100,исходящий поток выше видимого входа
13,chain_transit,1,0.0189,0.4877,100000008443341100,узел является внутренним звеном сквозной цепочки
14,gives_more_than_received,15,0.2885,0.508904,100000008346837100;100000005074393100;100000000489417100;100000006020215100;100000004877085100,исходящий поток выше видимого входа
14,cycle,6,0.1154,0.659303,100000008346837100;100000008733194100;100000005074393100;100000005882013100;100000005037490100,узел входит в направленный возвратный поток
14,chain_transit,1,0.0192,0.961321,100000008346837100,узел является внутренним звеном сквозной цепочки
14,near_threshold,1,0.0192,0.210489,100000006490615100,много входящих переводов у порога 5-10 тыс. KZT
14,sync_payers,1,0.0192,0.961321,100000008346837100,несколько разных плательщиков в один день
15,cycle,5,0.1136,0.605155,100000005933757100;100000004159526100;100000001937767100;100000002963189100;100000002132479100,узел входит в направленный возвратный поток
15,gives_more_than_received,5,0.1136,0.541079,100000005933757100;100000001937767100;100000002963189100;100000005958064100;100000005222360100,исходящий поток выше видимого входа
15,repeat_amount,2,0.0455,0.702683,100000005933757100;100000002963189100,одна и та же сумма отправлялась многократно
16,cycle,7,0.1707,0.60951,100000004156082100;100000004820260100;100000005339662100;100000000076451100;100000005175148100,узел входит в направленный возвратный поток
16,gives_more_than_received,6,0.1463,0.571191,100000004156082100;100000005339662100;100000008188026100;100000005481280100;100000004527381100,исходящий поток выше видимого входа
16,relay_route,2,0.0488,0.5463,100000005339662100;100000008418835100,узел является посредником устойчивого маршрута пересылки
16,chain_transit,1,0.0244,0.669312,100000005339662100,узел является внутренним звеном сквозной цепочки
16,repeat_amount,1,0.0244,0.160169,100000004269433100,одна и та же сумма отправлялась многократно
17,cycle,5,0.122,0.64591,100000003242289100;100000008413748100;100000008512552100;100000003178549100;100000008417359100,узел входит в направленный возвратный поток
17,gives_more_than_received,4,0.0976,0.674732,100000003242289100;100000008413748100;100000008512552100;100000008417359100,исходящий поток выше видимого входа
17,chain_transit,3,0.0732,0.784788,100000003242289100;100000008413748100;100000008512552100,узел является внутренним звеном сквозной цепочки
18,gives_more_than_received,7,0.2333,0.509991,100000007594394100;100000003854444100;100000005661829100;100000008647905100;100000003873332100,исходящий поток выше видимого входа
18,cycle,6,0.2,0.613871,100000007594394100;100000008546855100;100000006274203100;100000001049200100;100000008582730100,узел входит в направленный возвратный поток
18,near_threshold,1,0.0333,0.84167,100000008546855100,много входящих переводов у порога 5-10 тыс. KZT
18,relay_route,1,0.0333,0.901557,100000007594394100,узел является посредником устойчивого маршрута пересылки
18,repeat_amount,1,0.0333,0.901557,100000007594394100,одна и та же сумма отправлялась многократно
18,sync_payers,1,0.0333,0.84167,100000008546855100,несколько разных плательщиков в один день
19,gives_more_than_received,1,0.0345,0.579226,100000008460102100,исходящий поток выше видимого входа
19,near_threshold,1,0.0345,0.150007,100000006491963100,много входящих переводов у порога 5-10 тыс. KZT
20,gives_more_than_received,10,0.3846,0.467927,100000004403675100;100000004744306100;100000008254069100;100000003823811100;100000004041163100,исходящий поток выше видимого входа
20,cycle,5,0.1923,0.615523,100000004403675100;100000005382566100;100000008254069100;100000004041163100;100000003988112100,узел входит в направленный возвратный поток
21,gives_more_than_received,4,0.16,0.56244,100000005527892100;100000006977207100;100000000724540100;100000003216073100,исходящий поток выше видимого входа
22,gives_more_than_received,7,0.28,0.567463,100000008743913100;100000008710843100;100000002748532100;100000008758168100;100000008759857100,исходящий поток выше видимого входа
22,sync_payers,3,0.12,0.637503,100000001303311100;100000001887715100;100000007229557100,несколько разных плательщиков в один день
22,cycle,1,0.04,0.776842,100000008710843100,узел входит в направленный возвратный поток
23,gives_more_than_received,5,0.25,0.424346,100000002448088100;100000003154105100;100000001427082100;100000002185328100;100000000723383100,исходящий поток выше видимого входа
24,gives_more_than_received,5,0.2778,0.549164,100000003718221100;100000002267998100;100000008137435100;100000001063678100;100000004580202100,исходящий поток выше видимого входа
24,cycle,4,0.2222,0.622072,100000003701161100;100000003718221100;100000002267998100;100000008137435100,узел входит в направленный возвратный поток
24,chain_transit,2,0.1111,0.655741,100000003701161100;100000003718221100,узел является внутренним звеном сквозной цепочки
24,relay_route,2,0.1111,0.653743,100000003701161100;100000002267998100,узел является посредником устойчивого маршрута пересылки
24,repeat_amount,1,0.0556,0.620385,100000002267998100,одна и та же сумма отправлялась многократно
25,cycle,9,0.5294,0.461028,100000002224132100;100000004603109100;100000004892144100;100000001965374100;100000000594783100,узел входит в направленный возвратный поток
25,gives_more_than_received,5,0.2941,0.425021,100000002224132100;100000001965374100;100000003835149100;100000005664922100;100000004784224100,исходящий поток выше видимого входа
25,relay_route,1,0.0588,0.587779,100000002224132100,узел является посредником устойчивого маршрута пересылки
25,repeat_amount,1,0.0588,0.587779,100000002224132100,одна и та же сумма отправлялась многократно
26,cycle,5,0.2941,0.492926,100000004160650100;100000002731501100;100000004005964100;100000003616818100;100000004007116100,узел входит в направленный возвратный поток
26,gives_more_than_received,4,0.2353,0.499826,100000004160650100;100000002731501100;100000003616818100;100000001330595100,исходящий поток выше видимого входа
26,repeat_amount,2,0.1176,0.573357,100000004160650100;100000002731501100,одна и та же сумма отправлялась многократно
26,sync_payers,1,0.0588,0.527352,100000002731501100,несколько разных плательщиков в один день
27,cycle,4,0.2667,0.494897,100000001526235100;100000005505655100;100000001788284100;100000000926766100,узел входит в направленный возвратный поток
27,gives_more_than_received,4,0.2667,0.452576,100000001526235100;100000001788284100;100000002984403100;100000000860514100,исходящий поток выше видимого входа
28,cycle,2,0.1333,0.700162,100000008461532100;100000000791285100,узел входит в направленный возвратный поток
28,gives_more_than_received,2,0.1333,0.605678,100000008461532100;100000003069463100,исходящий поток выше видимого входа
29,cycle,5,0.3571,0.505038,100000008213966100;100000007382543100;100000000838385100;100000003001661100;100000004407753100,узел входит в направленный возвратный поток
29,gives_more_than_received,3,0.2143,0.543212,100000008213966100;100000007382543100;100000003001661100,исходящий поток выше видимого входа
30,gives_more_than_received,5,0.3846,0.333031,100000001380054100;100000006232815100;100000001782980100;100000000607731100;100000006734554100,исходящий поток выше видимого входа
30,cycle,3,0.2308,0.39464,100000001380054100;100000005077484100;100000006232815100,узел входит в направленный возвратный поток
31,cycle,3,0.2308,0.636366,100000007442518100;100000008258083100;100000000673868100,узел входит в направленный возвратный поток
31,gives_more_than_received,1,0.0769,0.699855,100000007442518100,исходящий поток выше видимого входа
31,repeat_amount,1,0.0769,0.539021,100000000673868100,одна и та же сумма отправлялась многократно
32,cycle,4,0.3636,0.575826,100000003004487100;100000002175422100;100000003557488100;100000002975437100,узел входит в направленный возвратный поток
32,gives_more_than_received,3,0.2727,0.619977,100000003004487100;100000002175422100;100000001317336100,исходящий поток выше видимого входа
32,repeat_amount,1,0.0909,0.611902,100000002175422100,одна и та же сумма отправлялась многократно
33,chain_transit,2,0.2,0.542107,100000008172352100;100000007322059100,узел является внутренним звеном сквозной цепочки
33,cycle,2,0.2,0.415215,100000007322059100;100000004552204100,узел входит в направленный возвратный поток
33,gives_more_than_received,1,0.1,0.621769,100000008172352100,исходящий поток выше видимого входа
34,cycle,5,0.5,0.588523,100000003635170100;100000002156381100;100000004209339100;100000005602999100;100000002696152100,узел входит в направленный возвратный поток
34,gives_more_than_received,4,0.4,0.506936,100000004209339100;100000008501413100;100000005602999100;100000002696152100,исходящий поток выше видимого входа
34,near_threshold,3,0.3,0.534175,100000002156381100;100000004209339100;100000002696152100,много входящих переводов у порога 5-10 тыс. KZT
34,chain_transit,2,0.2,0.502343,100000008501413100;100000005602999100,узел является внутренним звеном сквозной цепочки
35,cycle,6,0.6,0.521822,100000005519998100;100000004336312100;100000004076740100;100000004017410100;100000003934614100,узел входит в направленный возвратный поток
35,gives_more_than_received,3,0.3,0.604921,100000005519998100;100000004076740100;100000004017410100,исходящий поток выше видимого входа
35,relay_route,1,0.1,0.364691,100000003934614100,узел является посредником устойчивого маршрута пересылки
35,sync_payers,1,0.1,0.665358,100000004336312100,несколько разных плательщиков в один день
36,cycle,2,0.2222,0.529485,100000002217161100;100000001445848100,узел входит в направленный возвратный поток
36,gives_more_than_received,2,0.2222,0.482325,100000002217161100;100000008254576100,исходящий поток выше видимого входа
37,gives_more_than_received,1,0.125,0.572259,100000004906181100,исходящий поток выше видимого входа
37,near_threshold,1,0.125,0.255618,100000000557536100,много входящих переводов у порога 5-10 тыс. KZT
37,relay_route,1,0.125,0.572259,100000004906181100,узел является посредником устойчивого маршрута пересылки
38,gives_more_than_received,4,0.5,0.34704,100000005507142100;100000002612809100;100000005264874100;100000001825934100,исходящий поток выше видимого входа
38,cycle,3,0.375,0.35826,100000005507142100;100000002612809100;100000005264874100,узел входит в направленный возвратный поток
39,gives_more_than_received,3,0.4286,0.406739,100000005911352100;100000000507799100;100000004508696100,исходящий поток выше видимого входа
39,cycle,2,0.2857,0.413634,100000005911352100;100000004508696100,узел входит в направленный возвратный поток
40,gives_more_than_received,1,0.1429,0.561524,100000002241986100,исходящий поток выше видимого входа
41,cycle,3,0.4286,0.561486,100000008637537100;100000001732159100;100000008314203100,узел входит в направленный возвратный поток
41,relay_route,3,0.4286,0.561486,100000008637537100;100000001732159100;100000008314203100,узел является посредником устойчивого маршрута пересылки
41,repeat_amount,3,0.4286,0.561486,100000008637537100;100000001732159100;100000008314203100,одна и та же сумма отправлялась многократно
41,chain_transit,2,0.2857,0.550935,100000008637537100;100000008314203100,узел является внутренним звеном сквозной цепочки
41,gives_more_than_received,2,0.2857,0.551646,100000008637537100;100000002681449100,исходящий поток выше видимого входа
41,sync_payers,1,0.1429,0.7126,100000003404627100,несколько разных плательщиков в один день
42,gives_more_than_received,1,0.1429,0.422601,100000007392365100,исходящий поток выше видимого входа
43,cycle,2,0.2857,0.521946,100000008011159100;100000006169033100,узел входит в направленный возвратный поток
43,gives_more_than_received,1,0.1429,0.4124,100000006169033100,исходящий поток выше видимого входа
44,cycle,5,0.8333,0.465517,100000008736940100;100000008751429100;100000008193577100;100000005456919100;100000008659445100,узел входит в направленный возвратный поток
44,gives_more_than_received,2,0.3333,0.440192,100000008193577100;100000008659445100,исходящий поток выше видимого входа
45,cycle,3,0.5,0.353762,100000007939160100;100000000580561100;100000003888271100,узел входит в направленный возвратный поток
45,gives_more_than_received,2,0.3333,0.329068,100000000580561100;100000003888271100,исходящий поток выше видимого входа
46,cycle,2,0.3333,0.557466,100000004479404100;100000004717647100,узел входит в направленный возвратный поток
46,gives_more_than_received,1,0.1667,0.515033,100000004717647100,исходящий поток выше видимого входа
48,gives_more_than_received,2,0.3333,0.678247,100000003747133100;100000004722765100,исходящий поток выше видимого входа
49,gives_more_than_received,2,0.3333,0.518606,100000008761219100;100000007472293100,исходящий поток выше видимого входа
49,boundary_likely_continues,1,0.1667,0.296929,100000006638021100,граничный узел с вероятным скрытым исходящим продолжением
50,cycle,2,0.3333,0.353766,100000005546031100;100000005547096100,узел входит в направленный возвратный поток
50,gives_more_than_received,2,0.3333,0.356824,100000004094958100;100000005547096100,исходящий поток выше видимого входа
50,near_threshold,1,0.1667,0.436766,100000005546031100,много входящих переводов у порога 5-10 тыс. KZT
51,cycle,2,0.4,0.602847,100000000291906100;100000004670388100,узел входит в направленный возвратный поток
51,gives_more_than_received,2,0.4,0.602847,100000000291906100;100000004670388100,исходящий поток выше видимого входа
52,gives_more_than_received,2,0.4,0.426508,100000005031696100;100000001223977100,исходящий поток выше видимого входа
53,cycle,4,0.8,0.495857,100000004135268100;100000002738256100;100000008571433100;100000004979498100,узел входит в направленный возвратный поток
53,gives_more_than_received,2,0.4,0.460615,100000002738256100;100000008571433100,исходящий поток выше видимого входа
53,relay_route,1,0.2,0.653167,100000004135268100,узел является посредником устойчивого маршрута пересылки
54,near_threshold,1,0.2,0.466904,100000006562026100,много входящих переводов у порога 5-10 тыс. KZT
55,cycle,2,0.5,0.64916,100000006069103100;100000000201868100,узел входит в направленный возвратный поток
55,chain_transit,1,0.25,0.789976,100000006069103100,узел является внутренним звеном сквозной цепочки
55,gives_more_than_received,1,0.25,0.789976,100000006069103100,исходящий поток выше видимого входа
56,gives_more_than_received,1,0.25,0.485465,100000002205022100,исходящий поток выше видимого входа
57,cycle,3,0.75,0.408965,100000001872484100;100000000785800100;100000008601794100,узел входит в направленный возвратный поток
57,gives_more_than_received,1,0.25,0.39675,100000008601794100,исходящий поток выше видимого входа
58,gives_more_than_received,1,0.25,0.423677,100000001052945100,исходящий поток выше видимого входа
59,gives_more_than_received,2,0.5,0.679008,100000003159641100;100000008625905100,исходящий поток выше видимого входа
59,near_threshold,1,0.25,0.805166,100000003159641100,много входящих переводов у порога 5-10 тыс. KZT
60,cycle,2,0.5,0.316714,100000003148220100;100000004971871100,узел входит в направленный возвратный поток
60,gives_more_than_received,2,0.5,0.355912,100000003148220100;100000006888238100,исходящий поток выше видимого входа
61,gives_more_than_received,1,0.25,0.356617,100000002513028100,исходящий поток выше видимого входа
61,near_threshold,1,0.25,0.210641,100000004610802100,много входящих переводов у порога 5-10 тыс. KZT
61,repeat_amount,1,0.25,0.356617,100000002513028100,одна и та же сумма отправлялась многократно
62,gives_more_than_received,1,0.3333,0.395925,100000002371751100,исходящий поток выше видимого входа
63,gives_more_than_received,1,0.3333,0.379929,100000003321895100,исходящий поток выше видимого входа
64,cycle,2,0.6667,0.497349,100000002781227100;100000002796853100,узел входит в направленный возвратный поток
64,gives_more_than_received,1,0.3333,0.596729,100000002781227100,исходящий поток выше видимого входа
65,gives_more_than_received,1,0.3333,0.463003,100000008258458100,исходящий поток выше видимого входа
66,repeat_amount,1,0.3333,0.169889,100000004388983100,одна и та же сумма отправлялась многократно
67,gives_more_than_received,1,0.3333,0.544776,100000008628231100,исходящий поток выше видимого входа
67,repeat_amount,1,0.3333,0.544776,100000008628231100,одна и та же сумма отправлялась многократно
68,gives_more_than_received,1,0.5,0.410899,100000000583220100,исходящий поток выше видимого входа
71,cycle,1,0.5,0.400915,100000008430691100,узел входит в направленный возвратный поток
71,gives_more_than_received,1,0.5,0.400915,100000008430691100,исходящий поток выше видимого входа
72,cycle,2,1.0,0.64874,100000008324800100;100000007390016100,узел входит в направленный возвратный поток
72,repeat_amount,2,1.0,0.64874,100000008324800100;100000007390016100,одна и та же сумма отправлялась многократно
