src_role,dst_role,sum_kzt,n_edges,n_tx
peripheral,peripheral,108464951.37,633,1294
distributor,terminal,62751227.92,692,772
distributor,peripheral,32374037.8,353,485
peripheral,terminal,30048879.54,272,408
coordinator,terminal,25614108.29,201,227
coordinator,peripheral,23965145.79,174,220
distributor,consolidator,13280157.0,117,170
coordinator,consolidator,9354854.48,64,129
distributor,distributor,7547944.97,76,158
peripheral,consolidator,7215439.95,72,122
transit,peripheral,6921930.97,69,151
consolidator,peripheral,6477282.0,21,92
peripheral,distributor,4952324.0,55,84
distributor,transit,4672881.4,50,68
peripheral,transit,4492667.62,46,113
distributor,coordinator,4116288.0,44,76
transit,terminal,2347078.0,33,43
coordinator,coordinator,2107655.0,22,40
peripheral,coordinator,1828264.11,27,42
coordinator,distributor,1803836.0,31,46
consolidator,terminal,1648641.8,15,27
consolidator,consolidator,1266044.0,5,21
coordinator,transit,928979.4,13,14
transit,transit,745200.0,7,7
transit,consolidator,359232.6,10,12
transit,distributor,341472.0,7,8
transit,coordinator,147768.0,6,7
consolidator,transit,80720.0,3,3
consolidator,distributor,35000.0,1,1
