gid,depth,is_seed,role,cluster_id,component_id,priority_score,evidence,attention
100000000456947100,0,True,peripheral,73,17,0.120332,"Seed без исходящих в выборке; входящий поток неполон, структурная роль не установлена.",нет
100000003265658100,0,True,peripheral,74,18,0.120332,"Seed без исходящих в выборке; входящий поток неполон, структурная роль не установлена.",нет
100000003349739100,0,True,peripheral,75,19,0.120332,"Seed без исходящих в выборке; входящий поток неполон, структурная роль не установлена.",нет
100000003770083100,0,True,peripheral,76,20,0.120332,"Seed без исходящих в выборке; входящий поток неполон, структурная роль не установлена.",нет
100000004021459100,0,True,peripheral,77,21,0.120332,"Seed без исходящих в выборке; входящий поток неполон, структурная роль не установлена.",нет
100000004174835100,0,True,peripheral,78,22,0.120332,"Seed без исходящих в выборке; входящий поток неполон, структурная роль не установлена.",нет
100000005017150100,0,True,peripheral,79,23,0.120332,"Seed без исходящих в выборке; входящий поток неполон, структурная роль не установлена.",нет
100000005087431100,0,True,peripheral,80,24,0.120332,"Seed без исходящих в выборке; входящий поток неполон, структурная роль не установлена.",нет
100000005235389100,0,True,peripheral,81,25,0.120332,"Seed без исходящих в выборке; входящий поток неполон, структурная роль не установлена.",нет
100000005480435100,0,True,peripheral,82,26,0.120332,"Seed без исходящих в выборке; входящий поток неполон, структурная роль не установлена.",нет
100000005495722100,0,True,peripheral,83,27,0.120332,"Seed без исходящих в выборке; входящий поток неполон, структурная роль не установлена.",нет
100000005550592100,0,True,peripheral,84,28,0.120332,"Seed без исходящих в выборке; входящий поток неполон, структурная роль не установлена.",нет
100000005560900100,0,True,peripheral,85,29,0.120332,"Seed без исходящих в выборке; входящий поток неполон, структурная роль не установлена.",нет
100000005568407100,0,True,peripheral,86,30,0.120332,"Seed без исходящих в выборке; входящий поток неполон, структурная роль не установлена.",нет
100000008117324100,0,True,peripheral,87,31,0.120332,"Seed без исходящих в выборке; входящий поток неполон, структурная роль не установлена.",нет
100000008205000100,0,True,peripheral,88,32,0.120332,"Seed без исходящих в выборке; входящий поток неполон, структурная роль не установлена.",нет
100000008513251100,0,True,peripheral,89,33,0.120332,"Seed без исходящих в выборке; входящий поток неполон, структурная роль не установлена.",нет
100000008669037100,0,True,peripheral,90,34,0.120332,"Seed без исходящих в выборке; входящий поток неполон, структурная роль не установлена.",нет
100000008701222100,0,True,peripheral,91,35,0.120332,"Seed без исходящих в выборке; входящий поток неполон, структурная роль не установлена.",нет
