seed_a,seed_b,shared_reachable,share_a,share_b,same_cluster,top_shared_gids
100000003684369100,100000004723755100,102,0.85,0.1818,True,100000003115284100;100000006889963100;100000003946524100;100000005074393100;100000007908818100;100000003390036100;100000003299365100;100000002988894100;100000005124479100;100000001072022100
100000003684369100,100000006866783100,102,0.85,0.0918,False,100000003115284100;100000006889963100;100000003946524100;100000005074393100;100000007908818100;100000003390036100;100000003299365100;100000002988894100;100000005124479100;100000001072022100
100000003016635100,100000004723755100,98,0.169,0.1747,False,100000008603629100;100000000437046100;100000000331309100;100000008346837100;100000003115284100;100000001530983100;100000001857829100;100000005910114100;100000008733194100;100000003242289100
100000006866783100,100000008418835100,81,0.0729,0.3506,False,100000008346837100;100000003115284100;100000001530983100;100000004156082100;100000005910114100;100000008733194100;100000006889963100;100000004351795100;100000003635170100;100000003016635100
100000006866783100,100000008522127100,76,0.0684,0.5891,False,100000008165763100;100000008547948100;100000008489922100;100000002398779100;100000008710791100;100000008730846100;100000008743913100;100000008547844100;100000008512827100;100000008517538100
100000003016635100,100000008522127100,69,0.119,0.5349,False,100000008165763100;100000008547948100;100000008489922100;100000002398779100;100000008730846100;100000008743913100;100000008547844100;100000003684369100;100000008692291100;100000008466579100
100000000343175100,100000008418835100,65,0.9028,0.2814,False,100000003115284100;100000006889963100;100000003635170100;100000005382566100;100000002894076100;100000007908818100;100000001899164100;100000003809101100;100000003390036100;100000002193259100
100000003016635100,100000004358004100,63,0.1086,0.2614,False,100000003115284100;100000008165763100;100000006889963100;100000008743913100;100000004015047100;100000003684369100;100000002718366100;100000005074393100;100000002369874100;100000007908818100
100000003016635100,100000005498992100,61,0.1052,0.1889,False,100000008603629100;100000000437046100;100000000331309100;100000003115284100;100000001530983100;100000008165763100;100000006889963100;100000002398779100;100000008743913100;100000004015047100
100000000343175100,100000003016635100,55,0.7639,0.0948,False,100000003115284100;100000006889963100;100000003635170100;100000005382566100;100000002894076100;100000007908818100;100000001899164100;100000003809101100;100000003390036100;100000002193259100
100000000343175100,100000004269433100,52,0.7222,0.4727,False,100000003115284100;100000006889963100;100000003635170100;100000002894076100;100000007908818100;100000001899164100;100000003809101100;100000003390036100;100000002193259100;100000004677680100
100000004269433100,100000006866783100,49,0.4455,0.0441,False,100000008346837100;100000003115284100;100000004156082100;100000006889963100;100000003635170100;100000003016635100;100000003159641100;100000000343175100;100000002894076100;100000008144528100
100000003016635100,100000007982728100,46,0.0793,0.3485,False,100000008346837100;100000004015047100;100000005514161100;100000002838861100;100000007998965100;100000005704413100;100000005578559100;100000003111305100;100000008379273100;100000001253557100
100000000343175100,100000006866783100,43,0.5972,0.0387,False,100000003115284100;100000006889963100;100000003635170100;100000005382566100;100000002894076100;100000007908818100;100000001899164100;100000003809101100;100000003390036100;100000004677680100
100000004358004100,100000005498992100,40,0.166,0.1238,False,100000003115284100;100000008165763100;100000006889963100;100000008710791100;100000005527892100;100000008743913100;100000007594394100;100000004015047100;100000008512827100;100000003684369100
100000004358004100,100000008522127100,38,0.1577,0.2946,False,100000008165763100;100000008710791100;100000008743913100;100000008512827100;100000003684369100;100000002718366100;100000001282143100;100000002369874100;100000003157679100;100000001303311100
100000004723755100,100000008418835100,32,0.057,0.1385,False,100000008346837100;100000003115284100;100000001530983100;100000005910114100;100000008733194100;100000006889963100;100000007593823100;100000005048668100;100000005074393100;100000007442518100
100000003016635100,100000003684369100,28,0.0483,0.2333,False,100000003115284100;100000006889963100;100000005074393100;100000007908818100;100000003390036100;100000002939838100;100000003360542100;100000007129492100;100000006424479100;100000002957306100
100000005498992100,100000008680731100,26,0.0805,0.2796,False,100000005242320100;100000007998965100;100000001282143100;100000001584286100;100000002883402100;100000004368189100;100000002670860100;100000002822472100;100000002989353100;100000002973903100
100000004358004100,100000008418835100,23,0.0954,0.0996,False,100000003115284100;100000006889963100;100000005074393100;100000007908818100;100000003390036100;100000003360542100;100000007129492100;100000002957306100;100000002173161100;100000004105288100
100000003016635100,100000007747786100,22,0.0379,0.2292,False,100000004015047100;100000005514161100;100000002838861100;100000003265158100;100000002894076100;100000001253557100;100000004159526100;100000003589877100;100000004386258100;100000002605308100
100000003684369100,100000008418835100,22,0.1833,0.0952,False,100000003115284100;100000006889963100;100000005074393100;100000007908818100;100000003390036100;100000003360542100;100000007129492100;100000002957306100;100000004105288100;100000001924185100
100000000343175100,100000003684369100,21,0.2917,0.175,False,100000003115284100;100000006889963100;100000007908818100;100000003390036100;100000003360542100;100000007129492100;100000002957306100;100000004105288100;100000001924185100;100000001346560100
100000000343175100,100000004358004100,20,0.2778,0.083,False,100000003115284100;100000006889963100;100000007908818100;100000003390036100;100000003360542100;100000007129492100;100000002957306100;100000004105288100;100000001924185100;100000001346560100
100000004269433100,100000004723755100,19,0.1727,0.0339,False,100000008346837100;100000003115284100;100000006889963100;100000007908818100;100000003390036100;100000003360542100;100000007129492100;100000002957306100;100000004105288100;100000001924185100
100000000343175100,100000004723755100,18,0.25,0.0321,False,100000003115284100;100000006889963100;100000007908818100;100000003390036100;100000003360542100;100000007129492100;100000002957306100;100000004105288100;100000001924185100;100000001346560100
100000003684369100,100000004269433100,17,0.1417,0.1545,False,100000003115284100;100000006889963100;100000007908818100;100000003390036100;100000003360542100;100000007129492100;100000002957306100;100000004105288100;100000001924185100;100000001346560100
100000004269433100,100000004358004100,17,0.1545,0.0705,False,100000003115284100;100000006889963100;100000007908818100;100000003390036100;100000003360542100;100000007129492100;100000002957306100;100000004105288100;100000001924185100;100000001346560100
100000007747786100,100000008680731100,17,0.1771,0.1828,False,100000005514161100;100000003265158100;100000001253557100;100000004386258100;100000002670860100;100000007242833100;100000004386331100;100000004424023100;100000002762076100;100000008332511100
100000006866783100,100000007982728100,16,0.0144,0.1212,False,100000008346837100;100000004015047100;100000003111305100;100000004997515100;100000006788200100;100000006972210100;100000002692750100;100000005778283100;100000003068941100;100000001616816100
100000007747786100,100000007982728100,16,0.1667,0.1212,False,100000004015047100;100000005514161100;100000002838861100;100000001253557100;100000002605308100;100000005778283100;100000001616816100;100000001937767100;100000002836736100;100000001927599100
100000005498992100,100000008522127100,15,0.0464,0.1163,False,100000008165763100;100000002398779100;100000008710791100;100000008743913100;100000008512827100;100000003684369100;100000008692291100;100000002718366100;100000001282143100;100000003071930100
100000003684369100,100000005498992100,14,0.1167,0.0433,False,100000003115284100;100000006889963100;100000003390036100;100000001072022100;100000002939838100;100000008438656100;100000003360542100;100000004315838100;100000008747113100;100000004004621100
100000005498992100,100000008418835100,14,0.0433,0.0606,False,100000003115284100;100000001530983100;100000006889963100;100000005382566100;100000003390036100;100000001236706100;100000006972210100;100000003360542100;100000002704875100;100000002618492100
100000005498992100,100000007747786100,12,0.0372,0.125,False,100000004015047100;100000002838861100;100000004159526100;100000001616816100;100000002670860100;100000001929088100;100000007953156100;100000002132479100;100000002812641100;100000004456564100
100000003016635100,100000008680731100,11,0.019,0.1183,False,100000005514161100;100000007998965100;100000003265158100;100000001253557100;100000004386258100;100000001584286100;100000002883402100;100000002822472100;100000007242833100;100000004424023100
100000003977183100,100000007982728100,10,1.0,0.0758,True,100000004015047100;100000005778283100;100000001616816100;100000001937767100;100000002836736100;100000001411870100;100000003923946100;100000001960517100;100000002824176100;100000001641789100
100000004723755100,100000008522127100,10,0.0178,0.0775,False,100000008165763100;100000002398779100;100000008710791100;100000008730846100;100000008743913100;100000008512827100;100000003684369100;100000008710843100;100000003071930100;100000008758168100
100000006866783100,100000007747786100,10,0.009,0.1042,False,100000004015047100;100000003265158100;100000002894076100;100000002921047100;100000005778283100;100000001616816100;100000003158727100;100000003831324100;100000002605548100;100000003062895100
100000007747786100,100000008522127100,10,0.1042,0.0775,False,100000002894076100;100000001253557100;100000005473151100;100000002921047100;100000003158727100;100000003831324100;100000008545727100;100000008335401100;100000001490461100;100000005561741100
100000000343175100,100000005498992100,9,0.125,0.0279,False,100000003115284100;100000006889963100;100000005382566100;100000003390036100;100000006972210100;100000003360542100;100000002618492100;100000006755850100;100000005668605100
100000004358004100,100000007982728100,9,0.0373,0.0682,False,100000004015047100;100000004997515100;100000001616816100;100000003031003100;100000008556318100;100000005226217100;100000005782886100;100000007997939100;100000003904497100
100000004723755100,100000007982728100,9,0.016,0.0682,False,100000008346837100;100000006788200100;100000002692750100;100000003068941100;100000008556318100;100000006994985100;100000001130176100;100000005205745100;100000001202787100
100000006866783100,100000008680731100,8,0.0072,0.086,False,100000003265158100;100000001282143100;100000004662806100;100000001584286100;100000002679516100;100000002973903100;100000001083990100;100000003943483100
100000004269433100,100000005498992100,7,0.0636,0.0217,False,100000003115284100;100000006889963100;100000003390036100;100000006972210100;100000003360542100;100000002618492100;100000006755850100
100000005498992100,100000007982728100,7,0.0217,0.053,False,100000004015047100;100000002838861100;100000007998965100;100000006972210100;100000001616816100;100000002812641100;100000007793871100
100000001616816100,100000007747786100,6,1.0,0.0625,False,100000004015047100;100000002605308100;100000001937767100;100000001904863100;100000004905207100;100000001641789100
100000001616816100,100000007982728100,6,1.0,0.0455,True,100000004015047100;100000002605308100;100000001937767100;100000001904863100;100000004905207100;100000001641789100
100000003016635100,100000003975102100,6,0.0103,0.8571,True,100000005382566100;100000008650785100;100000004041163100;100000000817146100;100000005519347100;100000004019124100
100000003977183100,100000007747786100,6,0.6,0.0625,False,100000004015047100;100000005778283100;100000001616816100;100000001937767100;100000002836736100;100000001641789100
100000007982728100,100000008680731100,6,0.0455,0.0645,False,100000005514161100;100000007998965100;100000001253557100;100000004424023100;100000008332511100;100000007793871100
100000001732159100,100000006866783100,5,1.0,0.0045,False,100000003404627100;100000008637537100;100000008314203100;100000008232832100;100000005940652100
100000004813068100,100000008680731100,5,0.3846,0.0538,False,100000002224132100;100000004603109100;100000004892144100;100000000594783100;100000000552584100
100000006866783100,100000008314203100,5,0.0045,1.0,False,100000003404627100;100000008637537100;100000001732159100;100000008232832100;100000005940652100
100000006866783100,100000008637537100,5,0.0045,1.0,False,100000003404627100;100000001732159100;100000008314203100;100000008232832100;100000005940652100
100000001616816100,100000003016635100,4,0.6667,0.0069,False,100000004015047100;100000002605308100;100000001937767100;100000001641789100
100000001732159100,100000008314203100,4,0.8,0.8,True,100000003404627100;100000008637537100;100000008232832100;100000005940652100
100000001732159100,100000008637537100,4,0.8,0.8,True,100000003404627100;100000008314203100;100000008232832100;100000005940652100
100000003016635100,100000003977183100,4,0.0069,0.4,False,100000004015047100;100000001616816100;100000001937767100;100000001641789100
100000003975102100,100000008418835100,4,0.5714,0.0173,False,100000005382566100;100000008650785100;100000000817146100;100000005519347100
100000007747786100,100000008418835100,4,0.0417,0.0173,False,100000005514161100;100000002894076100;100000002605548100;100000004424023100
100000007982728100,100000008418835100,4,0.0303,0.0173,False,100000008346837100;100000005514161100;100000006972210100;100000004424023100
100000007982728100,100000008522127100,4,0.0303,0.031,False,100000003111305100;100000001253557100;100000004997515100;100000003031003100
100000008314203100,100000008637537100,4,0.8,0.8,True,100000003404627100;100000001732159100;100000008232832100;100000005940652100
100000001616816100,100000003977183100,3,0.5,0.3,True,100000004015047100;100000001937767100;100000001641789100
100000003016635100,100000008650785100,3,0.0052,1.0,True,100000000817146100;100000005519347100;100000004019124100
100000003975102100,100000004193835100,3,0.4286,1.0,True,100000005382566100;100000004041163100;100000005523088100
100000003975102100,100000005264990100,3,0.4286,0.5,False,100000005382566100;100000004041163100;100000005523088100
100000003975102100,100000005386383100,3,0.4286,1.0,False,100000005382566100;100000004041163100;100000005523088100
100000003975102100,100000005744674100,3,0.4286,1.0,False,100000005382566100;100000004041163100;100000005523088100
100000003975102100,100000008650785100,3,0.4286,1.0,True,100000000817146100;100000005519347100;100000004019124100
100000003977183100,100000006866783100,3,0.3,0.0027,False,100000004015047100;100000005778283100;100000001616816100
100000004193835100,100000005264990100,3,1.0,0.5,False,100000005382566100;100000004041163100;100000005523088100
100000004193835100,100000005386383100,3,1.0,1.0,False,100000005382566100;100000004041163100;100000005523088100
100000004193835100,100000005744674100,3,1.0,1.0,False,100000005382566100;100000004041163100;100000005523088100
100000004269433100,100000007747786100,3,0.0273,0.0312,False,100000005514161100;100000002894076100;100000002605548100
100000004269433100,100000007982728100,3,0.0273,0.0227,False,100000008346837100;100000005514161100;100000006972210100
100000004358004100,100000008680731100,3,0.0124,0.0323,False,100000001282143100;100000002883402100;100000002679516100
100000004723755100,100000008680731100,3,0.0053,0.0323,False,100000001584286100;100000002679516100;100000002973903100
100000005264990100,100000005386383100,3,0.5,1.0,True,100000005382566100;100000004041163100;100000005523088100
100000005264990100,100000005744674100,3,0.5,1.0,True,100000005382566100;100000004041163100;100000005523088100
100000005386383100,100000005744674100,3,1.0,1.0,True,100000005382566100;100000004041163100;100000005523088100
100000000343175100,100000003975102100,2,0.0278,0.2857,False,100000005382566100;100000004041163100
100000000343175100,100000004193835100,2,0.0278,0.6667,False,100000005382566100;100000004041163100
100000000343175100,100000005264990100,2,0.0278,0.3333,False,100000005382566100;100000004041163100
100000000343175100,100000005386383100,2,0.0278,0.6667,False,100000005382566100;100000004041163100
100000000343175100,100000005744674100,2,0.0278,0.6667,False,100000005382566100;100000004041163100
100000000343175100,100000007747786100,2,0.0278,0.0208,False,100000002894076100;100000002605548100
100000003016635100,100000004193835100,2,0.0034,0.6667,True,100000005382566100;100000004041163100
100000003016635100,100000005264990100,2,0.0034,0.3333,False,100000005382566100;100000004041163100
100000003016635100,100000005386383100,2,0.0034,0.6667,False,100000005382566100;100000004041163100
100000003016635100,100000005744674100,2,0.0034,0.6667,False,100000005382566100;100000004041163100
100000003975102100,100000004041163100,2,0.2857,1.0,False,100000005382566100;100000005523088100
100000003975102100,100000005382566100,2,0.2857,1.0,False,100000004041163100;100000005523088100
100000003977183100,100000004358004100,2,0.2,0.0083,False,100000004015047100;100000001616816100
100000003977183100,100000005498992100,2,0.2,0.0062,False,100000004015047100;100000001616816100
100000004041163100,100000004193835100,2,1.0,0.6667,False,100000005382566100;100000005523088100
100000004041163100,100000005264990100,2,1.0,0.3333,True,100000005382566100;100000005523088100
100000004041163100,100000005386383100,2,1.0,0.6667,True,100000005382566100;100000005523088100
100000004041163100,100000005744674100,2,1.0,0.6667,True,100000005382566100;100000005523088100
100000004193835100,100000005382566100,2,0.6667,1.0,False,100000004041163100;100000005523088100
100000004358004100,100000007747786100,2,0.0083,0.0208,False,100000004015047100;100000001616816100
100000005264990100,100000005382566100,2,0.3333,1.0,True,100000004041163100;100000005523088100
100000005264990100,100000005498992100,2,0.3333,0.0062,False,100000005382566100;100000004744306100
100000005264990100,100000006866783100,2,0.3333,0.0018,False,100000005382566100;100000004744306100
100000005382566100,100000005386383100,2,1.0,0.6667,True,100000004041163100;100000005523088100
100000005382566100,100000005744674100,2,1.0,0.6667,True,100000004041163100;100000005523088100
100000008418835100,100000008650785100,2,0.0087,0.6667,False,100000000817146100;100000005519347100
100000008418835100,100000008680731100,2,0.0087,0.0215,False,100000005514161100;100000004424023100
100000008522127100,100000008680731100,2,0.0155,0.0215,False,100000001282143100;100000001253557100
100000000343175100,100000004041163100,1,0.0139,0.5,False,100000005382566100
100000000343175100,100000004714705100,1,0.0139,0.5,False,100000005668605100
100000000343175100,100000005382566100,1,0.0139,0.5,False,100000004041163100
100000000343175100,100000007982728100,1,0.0139,0.0076,False,100000006972210100
100000000343175100,100000008522127100,1,0.0139,0.0078,False,100000002894076100
100000000343175100,100000008738325100,1,0.0139,1.0,False,100000005668605100
100000001616816100,100000004358004100,1,0.1667,0.0041,False,100000004015047100
100000001616816100,100000005498992100,1,0.1667,0.0031,False,100000004015047100
100000001616816100,100000006866783100,1,0.1667,0.0009,False,100000004015047100
100000001732159100,100000004723755100,1,0.2,0.0018,False,100000008637537100
100000001732159100,100000008522127100,1,0.2,0.0078,False,100000003404627100
100000002916006100,100000005264990100,1,1.0,0.1667,True,100000008516839100
100000002916006100,100000005417257100,1,1.0,0.3333,True,100000008516839100
100000003016635100,100000004041163100,1,0.0017,0.5,False,100000005382566100
100000003016635100,100000004714705100,1,0.0017,0.5,False,100000005668605100
100000003016635100,100000005382566100,1,0.0017,0.5,False,100000004041163100
100000003016635100,100000005519347100,1,0.0017,1.0,True,100000004019124100
100000003016635100,100000005543136100,1,0.0017,1.0,False,100000005493505100
100000003016635100,100000008654653100,1,0.0017,1.0,True,100000004019124100
100000003016635100,100000008738325100,1,0.0017,1.0,False,100000005668605100
100000003684369100,100000005543136100,1,0.0083,1.0,False,100000005493505100
100000003684369100,100000007982728100,1,0.0083,0.0076,False,100000008556318100
100000003975102100,100000004269433100,1,0.1429,0.0091,False,100000008650785100
100000003975102100,100000005498992100,1,0.1429,0.0031,False,100000005382566100
100000003975102100,100000005519347100,1,0.1429,1.0,True,100000004019124100
100000003975102100,100000006866783100,1,0.1429,0.0009,False,100000005382566100
100000003975102100,100000008654653100,1,0.1429,1.0,True,100000004019124100
100000004041163100,100000005382566100,1,0.5,0.5,True,100000005523088100
100000004041163100,100000005498992100,1,0.5,0.0031,False,100000005382566100
100000004041163100,100000006866783100,1,0.5,0.0009,False,100000005382566100
100000004041163100,100000008418835100,1,0.5,0.0043,False,100000005382566100
100000004193835100,100000005498992100,1,0.3333,0.0031,False,100000005382566100
100000004193835100,100000006866783100,1,0.3333,0.0009,False,100000005382566100
100000004193835100,100000008418835100,1,0.3333,0.0043,False,100000005382566100
100000004269433100,100000008522127100,1,0.0091,0.0078,False,100000002894076100
100000004269433100,100000008680731100,1,0.0091,0.0108,False,100000005514161100
100000004358004100,100000005543136100,1,0.0041,1.0,False,100000005493505100
100000004714705100,100000005498992100,1,0.5,0.0031,False,100000005668605100
100000004714705100,100000006866783100,1,0.5,0.0009,False,100000005668605100
100000004714705100,100000008418835100,1,0.5,0.0043,False,100000005668605100
100000004714705100,100000008738325100,1,0.5,1.0,True,100000005668605100
100000004723755100,100000005543136100,1,0.0018,1.0,False,100000005493505100
100000004723755100,100000008314203100,1,0.0018,0.2,False,100000008637537100
100000005264990100,100000005417257100,1,0.1667,0.3333,True,100000008516839100
100000005264990100,100000008418835100,1,0.1667,0.0043,False,100000005382566100
100000005386383100,100000005498992100,1,0.3333,0.0031,False,100000005382566100
100000005386383100,100000006866783100,1,0.3333,0.0009,False,100000005382566100
100000005386383100,100000008418835100,1,0.3333,0.0043,False,100000005382566100
100000005498992100,100000005744674100,1,0.0031,0.3333,False,100000005382566100
100000005498992100,100000008738325100,1,0.0031,1.0,False,100000005668605100
100000005519347100,100000008650785100,1,1.0,0.3333,True,100000004019124100
100000005519347100,100000008654653100,1,1.0,1.0,True,100000004019124100
100000005543136100,100000006866783100,1,1.0,0.0009,False,100000005493505100
100000005744674100,100000006866783100,1,0.3333,0.0009,False,100000005382566100
100000005744674100,100000008418835100,1,0.3333,0.0043,False,100000005382566100
100000006249740100,100000006831291100,1,0.3333,1.0,True,100000006562026100
100000006866783100,100000008738325100,1,0.0009,1.0,False,100000005668605100
100000008314203100,100000008522127100,1,0.2,0.0078,False,100000003404627100
100000008418835100,100000008522127100,1,0.0043,0.0078,False,100000002894076100
100000008418835100,100000008738325100,1,0.0043,1.0,False,100000005668605100
100000008522127100,100000008637537100,1,0.0078,0.2,False,100000003404627100
100000008650785100,100000008654653100,1,0.3333,1.0,True,100000004019124100
