seed_a,seed_b,shared_reachable,share_a,share_b,same_cluster,top_shared_gids
100000004723755100,100000006866783100,537,0.9572,0.4833,False,100000008603629100;100000000437046100;100000000331309100;100000008346837100;100000003115284100;100000001530983100;100000008477350100;100000001857829100;100000005910114100;100000008733194100
100000003016635100,100000006866783100,231,0.3983,0.2079,False,100000008603629100;100000000437046100;100000000331309100;100000008346837100;100000003115284100;100000001530983100;100000004156082100;100000001857829100;100000005910114100;100000008733194100
100000005498992100,100000006866783100,219,0.678,0.1971,False,100000008603629100;100000000437046100;100000000331309100;100000003115284100;100000001530983100;100000008477350100;100000008165763100;100000006889963100;100000002398779100;100000008710791100
100000003016635100,100000008418835100,214,0.369,0.9264,False,100000008346837100;100000003115284100;100000001530983100;100000004156082100;100000005910114100;100000008733194100;100000006889963100;100000004351795100;100000005287097100;100000003635170100
100000004723755100,100000005498992100,204,0.3636,0.6316,False,100000008603629100;100000000437046100;100000000331309100;100000003115284100;100000001530983100;100000008477350100;100000008165763100;100000006889963100;100000002398779100;100000008710791100
100000004358004100,100000006866783100,162,0.6722,0.1458,False,100000003115284100;100000008165763100;100000006889963100;100000008710791100;100000005527892100;100000008743913100;100000007594394100;100000004015047100;100000008512827100;100000005612411100
100000004358004100,100000004723755100,132,0.5477,0.2353,True,100000003115284100;100000008165763100;100000006889963100;100000008710791100;100000005527892100;100000008743913100;100000007594394100;100000008512827100;100000005612411100;100000003684369100
100000003684369100,100000004358004100,116,0.9667,0.4813,True,100000003115284100;100000006889963100;100000003946524100;100000005074393100;100000007908818100;100000003390036100;100000003299365100;100000002988894100;100000005124479100;100000001072022100
100000004269433100,100000008418835100,109,0.9909,0.4719,True,100000008346837100;100000003115284100;100000004156082100;100000006889963100;100000005287097100;100000003635170100;100000005514161100;100000006518161100;100000003016635100;100000003159641100
100000003016635100,100000004269433100,106,0.1828,0.9636,False,100000008346837100;100000003115284100;100000004156082100;100000006889963100;100000005287097100;100000003635170100;100000005514161100;100000006518161100;100000003159641100;100000000490383100
