route_id,kind,position,gid,role,cluster_id,is_seed,priority_score,path
1,repeated,1,100000008314203100,peripheral,41,True,0.499081,100000008314203100 → 100000008637537100 → 100000001732159100
1,repeated,2,100000008637537100,peripheral,41,True,0.602789,100000008314203100 → 100000008637537100 → 100000001732159100
1,repeated,3,100000001732159100,peripheral,41,True,0.582587,100000008314203100 → 100000008637537100 → 100000001732159100
2,repeated,1,100000004400305100,distributor,1,False,0.886588,100000004400305100 → 100000007594394100 → 100000006274203100
2,repeated,2,100000007594394100,consolidator,18,False,0.901557,100000004400305100 → 100000007594394100 → 100000006274203100
2,repeated,3,100000006274203100,peripheral,18,False,0.652027,100000004400305100 → 100000007594394100 → 100000006274203100
3,repeated,1,100000006579678100,peripheral,5,False,0.612203,100000006579678100 → 100000003016635100 → 100000004559194100
3,repeated,2,100000003016635100,distributor,5,True,0.825536,100000006579678100 → 100000003016635100 → 100000004559194100
3,repeated,3,100000004559194100,terminal,5,False,0.434689,100000006579678100 → 100000003016635100 → 100000004559194100
4,repeated,1,100000002267998100,peripheral,24,False,0.620385,100000002267998100 → 100000003701161100 → 100000003718221100
4,repeated,2,100000003701161100,peripheral,24,False,0.6871,100000002267998100 → 100000003701161100 → 100000003718221100
4,repeated,3,100000003718221100,peripheral,24,False,0.624383,100000002267998100 → 100000003701161100 → 100000003718221100
5,repeated,1,100000006866783100,distributor,1,True,0.830206,100000006866783100 → 100000008686313100 → 100000002826669100
5,repeated,2,100000008686313100,peripheral,1,False,0.702449,100000006866783100 → 100000008686313100 → 100000002826669100
5,repeated,3,100000002826669100,terminal,1,False,0.446486,100000006866783100 → 100000008686313100 → 100000002826669100
6,repeated,1,100000005048668100,distributor,7,False,0.76577,100000005048668100 → 100000008603629100 → 100000005830339100
6,repeated,2,100000008603629100,coordinator,7,False,0.981072,100000005048668100 → 100000008603629100 → 100000005830339100
6,repeated,3,100000005830339100,consolidator,4,False,0.781139,100000005048668100 → 100000008603629100 → 100000005830339100
7,repeated,1,100000005287097100,distributor,5,False,0.867304,100000005287097100 → 100000003016635100 → 100000000440392100
7,repeated,2,100000003016635100,distributor,5,True,0.825536,100000005287097100 → 100000003016635100 → 100000000440392100
7,repeated,3,100000000440392100,terminal,5,False,0.404818,100000005287097100 → 100000003016635100 → 100000000440392100
8,repeated,1,100000005287097100,distributor,5,False,0.867304,100000005287097100 → 100000003016635100 → 100000000667713100
8,repeated,2,100000003016635100,distributor,5,True,0.825536,100000005287097100 → 100000003016635100 → 100000000667713100
8,repeated,3,100000000667713100,peripheral,5,False,0.615012,100000005287097100 → 100000003016635100 → 100000000667713100
9,repeated,1,100000008571433100,peripheral,53,True,0.420578,100000008571433100 → 100000004135268100 → 100000004979498100
