seed_gid,cluster_id,flag,n_nodes,share_reachable,avg_priority_score,top_gids,meaning
100000000343175100,12,cycle,21,0.2917,0.5855,100000003115284100;100000003635170100;100000005382566100;100000001899164100;100000003809101100,узел входит в направленный возвратный поток
100000000343175100,12,gives_more_than_received,14,0.1944,0.487047,100000002193259100;100000004677680100;100000004209339100;100000008501413100;100000001346560100,исходящий поток выше видимого входа
100000000343175100,12,chain_transit,6,0.0833,0.632245,100000003115284100;100000003390036100;100000002941114100;100000003360542100;100000008501413100,узел является внутренним звеном сквозной цепочки
100000000343175100,12,near_threshold,5,0.0694,0.52067,100000002941114100;100000002156381100;100000004209339100;100000002696152100;100000001641951100,много входящих переводов у порога 5-10 тыс. KZT
100000000343175100,12,sync_payers,3,0.0417,0.866328,100000003115284100;100000006889963100;100000002894076100,несколько разных плательщиков в один день
100000000343175100,12,repeat_amount,2,0.0278,0.554505,100000007908818100;100000005168487100,одна и та же сумма отправлялась многократно
100000000580561100,45,cycle,2,0.4,0.351304,100000007939160100;100000003888271100,узел входит в направленный возвратный поток
100000000580561100,45,gives_more_than_received,1,0.2,0.299458,100000003888271100,исходящий поток выше видимого входа
100000001616816100,9,cycle,2,0.3333,0.733327,100000004015047100;100000001937767100,узел входит в направленный возвратный поток
100000001616816100,9,gives_more_than_received,1,0.1667,0.565286,100000001937767100,исходящий поток выше видимого входа
100000001732159100,41,chain_transit,2,0.4,0.550935,100000008637537100;100000008314203100,узел является внутренним звеном сквозной цепочки
100000001732159100,41,cycle,2,0.4,0.550935,100000008637537100;100000008314203100,узел входит в направленный возвратный поток
100000001732159100,41,relay_route,2,0.4,0.550935,100000008637537100;100000008314203100,узел является посредником устойчивого маршрута пересылки
100000001732159100,41,repeat_amount,2,0.4,0.550935,100000008637537100;100000008314203100,одна и та же сумма отправлялась многократно
100000001732159100,41,gives_more_than_received,1,0.2,0.602789,100000008637537100,исходящий поток выше видимого входа
100000001732159100,41,sync_payers,1,0.2,0.7126,100000003404627100,несколько разных плательщиков в один день
100000002527114100,2,cycle,9,0.0335,0.452565,100000002578405100;100000001697501100;100000001166289100;100000002733905100;100000003942602100,узел входит в направленный возвратный поток
100000002527114100,2,gives_more_than_received,7,0.026,0.41686,100000002578405100;100000001697501100;100000002733905100;100000002214664100;100000003192309100,исходящий поток выше видимого входа
100000002527114100,2,chain_transit,2,0.0074,0.563219,100000002578405100;100000008493007100,узел является внутренним звеном сквозной цепочки
100000002527114100,2,repeat_amount,2,0.0074,0.679982,100000002578405100;100000001697501100,одна и та же сумма отправлялась многократно
100000002527114100,2,near_threshold,1,0.0037,0.291157,100000004825069100,много входящих переводов у порога 5-10 тыс. KZT
100000003016635100,5,gives_more_than_received,132,0.2276,0.60789,100000008603629100;100000000437046100;100000000331309100;100000008346837100;100000001530983100,исходящий поток выше видимого входа
100000003016635100,5,cycle,113,0.1948,0.650482,100000008603629100;100000000437046100;100000000331309100;100000008346837100;100000003115284100,узел входит в направленный возвратный поток
100000003016635100,5,chain_transit,33,0.0569,0.802052,100000008603629100;100000000437046100;100000000331309100;100000008346837100;100000003115284100,узел является внутренним звеном сквозной цепочки
100000003016635100,5,sync_payers,28,0.0483,0.781127,100000008603629100;100000000437046100;100000000331309100;100000008346837100;100000003115284100,несколько разных плательщиков в один день
100000003016635100,5,near_threshold,17,0.0293,0.578673,100000002957787100;100000000332284100;100000003741418100;100000003159641100;100000005665181100,много входящих переводов у порога 5-10 тыс. KZT
100000003016635100,5,repeat_amount,16,0.0276,0.783465,100000008603629100;100000000437046100;100000000331309100;100000005910114100;100000005933757100,одна и та же сумма отправлялась многократно
100000003016635100,5,relay_route,12,0.0207,0.818704,100000008603629100;100000000437046100;100000002398779100;100000002957787100;100000006518161100,узел является посредником устойчивого маршрута пересылки
100000003016635100,5,boundary_likely_continues,4,0.0069,0.291443,100000003072205100;100000004652395100;100000006638021100;100000003230328100,граничный узел с вероятным скрытым исходящим продолжением
100000003684369100,4,gives_more_than_received,15,0.125,0.509309,100000003946524100;100000005074393100;100000003366154100;100000004480280100;100000005079754100,исходящий поток выше видимого входа
100000003684369100,4,cycle,10,0.0833,0.618656,100000003115284100;100000003946524100;100000005074393100;100000003390036100;100000003299365100,узел входит в направленный возвратный поток
100000003684369100,4,chain_transit,3,0.025,0.731065,100000003115284100;100000003390036100;100000003360542100,узел является внутренним звеном сквозной цепочки
100000003684369100,4,repeat_amount,2,0.0167,0.621727,100000007908818100;100000008628231100,одна и та же сумма отправлялась многократно
100000003684369100,4,sync_payers,2,0.0167,0.9403,100000003115284100;100000006889963100,несколько разных плательщиков в один день
100000003684369100,4,near_threshold,1,0.0083,0.405234,100000001641951100,много входящих переводов у порога 5-10 тыс. KZT
100000003975102100,5,gives_more_than_received,3,0.4286,0.473706,100000008650785100;100000004041163100;100000005519347100,исходящий поток выше видимого входа
100000003975102100,5,cycle,2,0.2857,0.611163,100000005382566100;100000004041163100,узел входит в направленный возвратный поток
100000003977183100,9,cycle,4,0.4,0.633428,100000004015047100;100000001616816100;100000001937767100;100000003923946100,узел входит в направленный возвратный поток
100000003977183100,9,gives_more_than_received,3,0.3,0.544115,100000001616816100;100000001937767100;100000003923946100,исходящий поток выше видимого входа
100000003977183100,9,near_threshold,1,0.1,0.579875,100000001616816100,много входящих переводов у порога 5-10 тыс. KZT
100000004007116100,26,cycle,4,0.25,0.508123,100000004160650100;100000002731501100;100000004005964100;100000003616818100,узел входит в направленный возвратный поток
100000004007116100,26,gives_more_than_received,4,0.25,0.499826,100000004160650100;100000002731501100;100000003616818100;100000001330595100,исходящий поток выше видимого входа
100000004007116100,26,repeat_amount,2,0.125,0.573357,100000004160650100;100000002731501100,одна и та же сумма отправлялась многократно
100000004007116100,26,sync_payers,1,0.0625,0.527352,100000002731501100,несколько разных плательщиков в один день
100000004041163100,20,cycle,1,0.5,0.751553,100000005382566100,узел входит в направленный возвратный поток
100000004193835100,5,cycle,2,0.6667,0.611163,100000005382566100;100000004041163100,узел входит в направленный возвратный поток
100000004193835100,5,gives_more_than_received,1,0.3333,0.470773,100000004041163100,исходящий поток выше видимого входа
100000004269433100,16,cycle,31,0.2818,0.643839,100000008346837100;100000003115284100;100000004156082100;100000005287097100;100000003635170100,узел входит в направленный возвратный поток
100000004269433100,16,gives_more_than_received,24,0.2182,0.645303,100000008346837100;100000004156082100;100000005287097100;100000006518161100;100000003016635100,исходящий поток выше видимого входа
100000004269433100,16,chain_transit,11,0.1,0.739036,100000008346837100;100000003115284100;100000005287097100;100000003016635100;100000000343175100,узел является внутренним звеном сквозной цепочки
100000004269433100,16,near_threshold,6,0.0545,0.629875,100000003016635100;100000003159641100;100000002941114100;100000002156381100;100000004209339100,много входящих переводов у порога 5-10 тыс. KZT
100000004269433100,16,sync_payers,5,0.0455,0.877168,100000008346837100;100000003115284100;100000006889963100;100000003016635100;100000002894076100,несколько разных плательщиков в один день
100000004269433100,16,relay_route,4,0.0364,0.694496,100000006518161100;100000003016635100;100000005339662100;100000008418835100,узел является посредником устойчивого маршрута пересылки
100000004269433100,16,repeat_amount,4,0.0364,0.700462,100000005287097100;100000003016635100;100000007908818100;100000005168487100,одна и та же сумма отправлялась многократно
100000004358004100,4,gives_more_than_received,40,0.166,0.579593,100000008165763100;100000008710791100;100000005527892100;100000008743913100;100000007594394100,исходящий поток выше видимого входа
100000004358004100,4,cycle,20,0.083,0.598554,100000003115284100;100000007594394100;100000004015047100;100000003684369100;100000003946524100,узел входит в направленный возвратный поток
100000004358004100,4,sync_payers,15,0.0622,0.713462,100000003115284100;100000008165763100;100000006889963100;100000003684369100;100000002718366100,несколько разных плательщиков в один день
100000004358004100,4,chain_transit,10,0.0415,0.702477,100000003115284100;100000008710791100;100000005612411100;100000003684369100;100000003390036100,узел является внутренним звеном сквозной цепочки
100000004358004100,4,repeat_amount,4,0.0166,0.747375,100000007594394100;100000003684369100;100000007908818100;100000008628231100,одна и та же сумма отправлялась многократно
100000004358004100,4,near_threshold,3,0.0124,0.529841,100000008244300100;100000001616816100;100000001641951100,много входящих переводов у порога 5-10 тыс. KZT
100000004358004100,4,relay_route,3,0.0124,0.800617,100000008710791100;100000007594394100;100000008561016100,узел является посредником устойчивого маршрута пересылки
100000004358004100,4,boundary_likely_continues,1,0.0041,0.296929,100000006638021100,граничный узел с вероятным скрытым исходящим продолжением
100000004714705100,20,gives_more_than_received,1,0.5,0.311292,100000008738325100,исходящий поток выше видимого входа
100000004723755100,4,gives_more_than_received,93,0.1658,0.679326,100000008603629100;100000000437046100;100000000331309100;100000008346837100;100000001530983100,исходящий поток выше видимого входа
100000004723755100,4,cycle,72,0.1283,0.734221,100000008603629100;100000000437046100;100000000331309100;100000008346837100;100000003115284100,узел входит в направленный возвратный поток
100000004723755100,4,chain_transit,40,0.0713,0.817379,100000008603629100;100000000437046100;100000000331309100;100000008346837100;100000003115284100,узел является внутренним звеном сквозной цепочки
100000004723755100,4,repeat_amount,22,0.0392,0.779054,100000008603629100;100000000437046100;100000000331309100;100000005910114100;100000007594394100,одна и та же сумма отправлялась многократно
100000004723755100,4,sync_payers,20,0.0357,0.848372,100000008603629100;100000000437046100;100000000331309100;100000008346837100;100000003115284100,несколько разных плательщиков в один день
100000004723755100,4,relay_route,17,0.0303,0.834738,100000008603629100;100000000437046100;100000002398779100;100000008710791100;100000007594394100,узел является посредником устойчивого маршрута пересылки
100000004723755100,4,near_threshold,16,0.0285,0.552507,100000002957787100;100000000332284100;100000008546855100;100000003741418100;100000005665181100,много входящих переводов у порога 5-10 тыс. KZT
100000004723755100,4,boundary_likely_continues,4,0.0071,0.268325,100000004652395100;100000003230328100;100000008583971100;100000001202787100,граничный узел с вероятным скрытым исходящим продолжением
100000004813068100,25,cycle,7,0.5385,0.497918,100000002224132100;100000004603109100;100000004892144100;100000001965374100;100000000594783100,узел входит в направленный возвратный поток
100000004813068100,25,gives_more_than_received,4,0.3077,0.437843,100000002224132100;100000001965374100;100000003835149100;100000004784224100,исходящий поток выше видимого входа
100000004813068100,25,relay_route,1,0.0769,0.587779,100000002224132100,узел является посредником устойчивого маршрута пересылки
100000004813068100,25,repeat_amount,1,0.0769,0.587779,100000002224132100,одна и та же сумма отправлялась многократно
100000004971871100,60,gives_more_than_received,2,0.6667,0.355912,100000003148220100;100000006888238100,исходящий поток выше видимого входа
100000004971871100,60,cycle,1,0.3333,0.369987,100000003148220100,узел входит в направленный возвратный поток
100000005264990100,20,cycle,2,0.3333,0.611163,100000005382566100;100000004041163100,узел входит в направленный возвратный поток
100000005264990100,20,gives_more_than_received,2,0.3333,0.487957,100000004744306100;100000004041163100,исходящий поток выше видимого входа
100000005382566100,20,cycle,1,0.5,0.470773,100000004041163100,узел входит в направленный возвратный поток
100000005382566100,20,gives_more_than_received,1,0.5,0.470773,100000004041163100,исходящий поток выше видимого входа
100000005386383100,20,cycle,2,0.6667,0.611163,100000005382566100;100000004041163100,узел входит в направленный возвратный поток
100000005386383100,20,gives_more_than_received,1,0.3333,0.470773,100000004041163100,исходящий поток выше видимого входа
100000005417257100,20,gives_more_than_received,1,0.3333,0.335498,100000005394708100,исходящий поток выше видимого входа
100000005498992100,3,gives_more_than_received,41,0.1269,0.68345,100000008603629100;100000000437046100;100000000331309100;100000001530983100;100000008477350100,исходящий поток выше видимого входа
100000005498992100,3,cycle,35,0.1084,0.708749,100000008603629100;100000000437046100;100000000331309100;100000003115284100;100000008477350100,узел входит в направленный возвратный поток
100000005498992100,3,chain_transit,17,0.0526,0.841378,100000008603629100;100000000437046100;100000000331309100;100000003115284100;100000008477350100,узел является внутренним звеном сквозной цепочки
100000005498992100,3,sync_payers,15,0.0464,0.859989,100000008603629100;100000000437046100;100000000331309100;100000003115284100;100000008165763100,несколько разных плательщиков в один день
100000005498992100,3,relay_route,11,0.0341,0.853773,100000008603629100;100000000437046100;100000002398779100;100000008710791100;100000007594394100,узел является посредником устойчивого маршрута пересылки
100000005498992100,3,repeat_amount,10,0.031,0.8365,100000008603629100;100000000437046100;100000000331309100;100000007594394100;100000004299488100,одна и та же сумма отправлялась многократно
