seed_gid,cluster_id,flag,n_nodes,share_reachable,avg_priority_score,top_gids,meaning
100000005498992100,3,near_threshold,7,0.0217,0.490817,100000002957787100;100000008546855100;100000001616816100;100000000646541100;100000000557536100,много входящих переводов у порога 5-10 тыс. KZT
100000005744674100,20,cycle,2,0.6667,0.611163,100000005382566100;100000004041163100,узел входит в направленный возвратный поток
100000005744674100,20,gives_more_than_received,1,0.3333,0.470773,100000004041163100,исходящий поток выше видимого входа
100000006232815100,30,gives_more_than_received,4,0.3333,0.335565,100000001380054100;100000001782980100;100000000607731100;100000006734554100,исходящий поток выше видимого входа
100000006232815100,30,cycle,2,0.1667,0.430512,100000001380054100;100000005077484100,узел входит в направленный возвратный поток
100000006249740100,54,near_threshold,1,0.3333,0.466904,100000006562026100,много входящих переводов у порога 5-10 тыс. KZT
100000006831291100,54,near_threshold,1,1.0,0.466904,100000006562026100,много входящих переводов у порога 5-10 тыс. KZT
100000006866783100,1,gives_more_than_received,192,0.1728,0.599531,100000008603629100;100000000437046100;100000000331309100;100000008346837100;100000001530983100,исходящий поток выше видимого входа
100000006866783100,1,cycle,146,0.1314,0.647877,100000008603629100;100000000437046100;100000000331309100;100000008346837100;100000003115284100,узел входит в направленный возвратный поток
100000006866783100,1,chain_transit,65,0.0585,0.727472,100000008603629100;100000000437046100;100000000331309100;100000008346837100;100000003115284100,узел является внутренним звеном сквозной цепочки
100000006866783100,1,repeat_amount,33,0.0297,0.727488,100000008603629100;100000000437046100;100000000331309100;100000005910114100;100000005933757100,одна и та же сумма отправлялась многократно
100000006866783100,1,sync_payers,33,0.0297,0.781391,100000008603629100;100000000437046100;100000000331309100;100000008346837100;100000003115284100,несколько разных плательщиков в один день
100000006866783100,1,near_threshold,26,0.0234,0.537885,100000002957787100;100000000332284100;100000008546855100;100000003741418100;100000003016635100,много входящих переводов у порога 5-10 тыс. KZT
100000006866783100,1,relay_route,25,0.0225,0.739237,100000008603629100;100000000437046100;100000002398779100;100000008710791100;100000007594394100,узел является посредником устойчивого маршрута пересылки
100000006866783100,1,boundary_likely_continues,9,0.0081,0.282788,100000003037476100;100000003072205100;100000004652395100;100000005783452100;100000007034089100,граничный узел с вероятным скрытым исходящим продолжением
100000007018630100,62,gives_more_than_received,1,0.5,0.395925,100000002371751100,исходящий поток выше видимого входа
100000007747786100,11,cycle,21,0.2188,0.520726,100000004015047100;100000002838861100;100000004159526100;100000005473151100;100000004386258100,узел входит в направленный возвратный поток
100000007747786100,11,gives_more_than_received,13,0.1354,0.510873,100000003265158100;100000003589877100;100000001616816100;100000001937767100;100000001677929100,исходящий поток выше видимого входа
100000007747786100,11,near_threshold,1,0.0104,0.579875,100000001616816100,много входящих переводов у порога 5-10 тыс. KZT
100000007747786100,11,repeat_amount,1,0.0104,0.426971,100000002958343100,одна и та же сумма отправлялась многократно
100000007747786100,11,sync_payers,1,0.0104,0.718383,100000002894076100,несколько разных плательщиков в один день
100000007982728100,9,cycle,24,0.1818,0.54641,100000008346837100;100000004015047100;100000002838861100;100000005704413100;100000005578559100,узел входит в направленный возвратный поток
100000007982728100,9,gives_more_than_received,22,0.1667,0.502486,100000008346837100;100000005704413100;100000005578559100;100000008379273100;100000008748408100,исходящий поток выше видимого входа
100000007982728100,9,near_threshold,4,0.0303,0.390824,100000001616816100;100000003636627100;100000002391278100;100000001893287100,много входящих переводов у порога 5-10 тыс. KZT
100000007982728100,9,repeat_amount,4,0.0303,0.519154,100000008748408100;100000002692750100;100000004221668100;100000001893287100,одна и та же сумма отправлялась многократно
100000007982728100,9,boundary_likely_continues,1,0.0076,0.244102,100000001202787100,граничный узел с вероятным скрытым исходящим продолжением
100000007982728100,9,chain_transit,1,0.0076,0.961321,100000008346837100,узел является внутренним звеном сквозной цепочки
100000007982728100,9,sync_payers,1,0.0076,0.961321,100000008346837100,несколько разных плательщиков в один день
100000008314203100,41,cycle,2,0.4,0.592688,100000008637537100;100000001732159100,узел входит в направленный возвратный поток
100000008314203100,41,relay_route,2,0.4,0.592688,100000008637537100;100000001732159100,узел является посредником устойчивого маршрута пересылки
100000008314203100,41,repeat_amount,2,0.4,0.592688,100000008637537100;100000001732159100,одна и та же сумма отправлялась многократно
100000008314203100,41,chain_transit,1,0.2,0.602789,100000008637537100,узел является внутренним звеном сквозной цепочки
100000008314203100,41,gives_more_than_received,1,0.2,0.602789,100000008637537100,исходящий поток выше видимого входа
100000008314203100,41,sync_payers,1,0.2,0.7126,100000003404627100,несколько разных плательщиков в один день
100000008418835100,16,gives_more_than_received,60,0.2597,0.585838,100000008346837100;100000001530983100;100000004156082100;100000005910114100;100000004351795100,исходящий поток выше видимого входа
100000008418835100,16,cycle,55,0.2381,0.644341,100000008346837100;100000003115284100;100000004156082100;100000005910114100;100000008733194100,узел входит в направленный возвратный поток
100000008418835100,16,chain_transit,18,0.0779,0.737406,100000008346837100;100000003115284100;100000005910114100;100000005287097100;100000003016635100,узел является внутренним звеном сквозной цепочки
100000008418835100,16,near_threshold,9,0.039,0.591602,100000003016635100;100000003159641100;100000002941114100;100000002156381100;100000004209339100,много входящих переводов у порога 5-10 тыс. KZT
100000008418835100,16,relay_route,6,0.026,0.77381,100000006518161100;100000003016635100;100000007593823100;100000004707703100;100000003701161100,узел является посредником устойчивого маршрута пересылки
100000008418835100,16,repeat_amount,6,0.026,0.759765,100000005910114100;100000005287097100;100000003016635100;100000007593823100;100000007908818100,одна и та же сумма отправлялась многократно
100000008418835100,16,sync_payers,5,0.0216,0.877168,100000008346837100;100000003115284100;100000006889963100;100000003016635100;100000002894076100,несколько разных плательщиков в один день
100000008522127100,64,gives_more_than_received,28,0.2171,0.684407,100000008165763100;100000008547948100;100000008489922100;100000008710791100;100000008730846100,исходящий поток выше видимого входа
100000008522127100,64,sync_payers,18,0.1395,0.724838,100000008165763100;100000008547948100;100000002398779100;100000008730846100;100000003684369100,несколько разных плательщиков в один день
100000008522127100,64,cycle,11,0.0853,0.726022,100000008547948100;100000008489922100;100000008547844100;100000003684369100;100000008466579100,узел входит в направленный возвратный поток
100000008522127100,64,boundary_likely_continues,5,0.0388,0.294357,100000003037476100;100000003072205100;100000005783452100;100000007034089100;100000007357489100,граничный узел с вероятным скрытым исходящим продолжением
100000008522127100,64,chain_transit,5,0.0388,0.899728,100000008547948100;100000008489922100;100000002398779100;100000008710791100;100000003684369100,узел является внутренним звеном сквозной цепочки
100000008522127100,64,repeat_amount,3,0.0233,0.825102,100000008489922100;100000003684369100;100000008465789100,одна и та же сумма отправлялась многократно
100000008522127100,64,relay_route,2,0.0155,0.911479,100000002398779100;100000008710791100,узел является посредником устойчивого маршрута пересылки
100000008571433100,53,cycle,3,0.75,0.52095,100000004135268100;100000002738256100;100000004979498100,узел входит в направленный возвратный поток
100000008571433100,53,gives_more_than_received,1,0.25,0.500652,100000002738256100,исходящий поток выше видимого входа
100000008571433100,53,relay_route,1,0.25,0.653167,100000004135268100,узел является посредником устойчивого маршрута пересылки
100000008575624100,50,cycle,2,0.4,0.353766,100000005546031100;100000005547096100,узел входит в направленный возвратный поток
100000008575624100,50,gives_more_than_received,2,0.4,0.356824,100000004094958100;100000005547096100,исходящий поток выше видимого входа
100000008575624100,50,near_threshold,1,0.2,0.436766,100000005546031100,много входящих переводов у порога 5-10 тыс. KZT
100000008601794100,57,cycle,2,0.6667,0.415072,100000001872484100;100000000785800100,узел входит в направленный возвратный поток
100000008637537100,41,cycle,2,0.4,0.540834,100000001732159100;100000008314203100,узел входит в направленный возвратный поток
100000008637537100,41,relay_route,2,0.4,0.540834,100000001732159100;100000008314203100,узел является посредником устойчивого маршрута пересылки
100000008637537100,41,repeat_amount,2,0.4,0.540834,100000001732159100;100000008314203100,одна и та же сумма отправлялась многократно
100000008637537100,41,chain_transit,1,0.2,0.499081,100000008314203100,узел является внутренним звеном сквозной цепочки
100000008637537100,41,sync_payers,1,0.2,0.7126,100000003404627100,несколько разных плательщиков в один день
100000008650785100,5,gives_more_than_received,1,0.3333,0.43139,100000005519347100,исходящий поток выше видимого входа
100000008659445100,44,cycle,4,0.8,0.481147,100000008736940100;100000008751429100;100000008193577100;100000005456919100,узел входит в направленный возвратный поток
100000008659445100,44,gives_more_than_received,1,0.2,0.477388,100000008193577100,исходящий поток выше видимого входа
100000008680731100,13,gives_more_than_received,13,0.1398,0.479864,100000005242320100;100000003265158100;100000002224132100;100000004424023100;100000003917461100,исходящий поток выше видимого входа
100000008680731100,13,cycle,12,0.129,0.467204,100000004386258100;100000002224132100;100000004603109100;100000004386331100;100000004892144100,узел входит в направленный возвратный поток
100000008680731100,13,relay_route,1,0.0108,0.587779,100000002224132100,узел является посредником устойчивого маршрута пересылки
100000008680731100,13,repeat_amount,1,0.0108,0.587779,100000002224132100,одна и та же сумма отправлялась многократно
100000008680731100,13,sync_payers,1,0.0108,0.71905,100000001282143100,несколько разных плательщиков в один день
