strategy,removed,largest_component,linked_components,edges_left,seed_reach_pairs,seed_reach_share
priority,0,1877,16,3119,4219,1.0
priority,5,1687,57,2843,3498,0.8291
priority,10,1613,70,2711,3119,0.7393
priority,20,1500,82,2484,2817,0.6677
priority,50,1210,132,2097,1989,0.4714
priority,100,464,228,1534,742,0.1759
random,0,1877,16,3119,4219,1.0
random,5,1870,16,3106,4206,0.9969
random,10,1862,16,3094,4182,0.9912
random,20,1845,18,3078,4138,0.9808
random,50,1802,21,3016,4030,0.9552
random,100,1733,26,2918,3863,0.9156
