flag_a,flag_b,n_nodes,avg_priority_score,top_gids,meaning_a,meaning_b
cycle,gives_more_than_received,164,0.592305,100000008603629100;100000000437046100;100000000331309100;100000008346837100;100000004156082100;100000008477350100;100000001857829100;100000005910114100;100000003242289100;100000008547948100,узел входит в направленный возвратный поток,исходящий поток выше видимого входа
chain_transit,cycle,55,0.747527,100000008603629100;100000000437046100;100000000331309100;100000008346837100;100000003115284100;100000008477350100;100000001857829100;100000005910114100;100000003242289100;100000008547948100,узел является внутренним звеном сквозной цепочки,узел входит в направленный возвратный поток
chain_transit,gives_more_than_received,51,0.740494,100000008603629100;100000000437046100;100000000331309100;100000008346837100;100000008477350100;100000001857829100;100000005910114100;100000003242289100;100000008731444100;100000008547948100,узел является внутренним звеном сквозной цепочки,исходящий поток выше видимого входа
cycle,repeat_amount,42,0.697594,100000008603629100;100000000437046100;100000000331309100;100000005910114100;100000005933757100;100000008489922100;100000007594394100;100000004299488100;100000004400305100;100000004070318100,узел входит в направленный возвратный поток,одна и та же сумма отправлялась многократно
gives_more_than_received,repeat_amount,38,0.700056,100000008603629100;100000000437046100;100000000331309100;100000005910114100;100000005933757100;100000008489922100;100000007594394100;100000004400305100;100000004070318100;100000005287097100,исходящий поток выше видимого входа,одна и та же сумма отправлялась многократно
cycle,relay_route,26,0.741726,100000008603629100;100000000437046100;100000007594394100;100000004299488100;100000002957787100;100000004070318100;100000008304139100;100000006518161100;100000004847758100;100000006866783100,узел входит в направленный возвратный поток,узел является посредником устойчивого маршрута пересылки
chain_transit,relay_route,22,0.774989,100000008603629100;100000000437046100;100000002398779100;100000008710791100;100000004299488100;100000002957787100;100000004070318100;100000008304139100;100000004847758100;100000006866783100,узел является внутренним звеном сквозной цепочки,узел является посредником устойчивого маршрута пересылки
gives_more_than_received,relay_route,21,0.75143,100000008603629100;100000000437046100;100000008710791100;100000007594394100;100000002957787100;100000004070318100;100000008304139100;100000006518161100;100000004847758100;100000006866783100,исходящий поток выше видимого входа,узел является посредником устойчивого маршрута пересылки
chain_transit,repeat_amount,20,0.803468,100000008603629100;100000000437046100;100000000331309100;100000005910114100;100000008489922100;100000004299488100;100000004400305100;100000004070318100;100000005287097100;100000003684369100,узел является внутренним звеном сквозной цепочки,одна и та же сумма отправлялась многократно
cycle,near_threshold,19,0.587913,100000002957787100;100000008546855100;100000003741418100;100000003016635100;100000005665181100;100000006111439100;100000002293421100;100000002941114100;100000001616816100;100000002156381100,узел входит в направленный возвратный поток,много входящих переводов у порога 5-10 тыс. KZT
cycle,sync_payers,16,0.851719,100000008603629100;100000000437046100;100000000331309100;100000008346837100;100000003115284100;100000001857829100;100000008547948100;100000004299488100;100000003684369100;100000008546855100,узел входит в направленный возвратный поток,несколько разных плательщиков в один день
gives_more_than_received,sync_payers,15,0.852922,100000008603629100;100000000437046100;100000000331309100;100000008346837100;100000001857829100;100000008165763100;100000008547948100;100000008730846100;100000000332284100;100000003684369100,исходящий поток выше видимого входа,несколько разных плательщиков в один день
relay_route,repeat_amount,15,0.767021,100000008603629100;100000000437046100;100000007594394100;100000004299488100;100000004070318100;100000004847758100;100000006866783100;100000003016635100;100000007593823100;100000003880331100,узел является посредником устойчивого маршрута пересылки,одна и та же сумма отправлялась многократно
chain_transit,sync_payers,13,0.910053,100000008603629100;100000000437046100;100000000331309100;100000008346837100;100000003115284100;100000001857829100;100000008547948100;100000002398779100;100000004299488100;100000003684369100,узел является внутренним звеном сквозной цепочки,несколько разных плательщиков в один день
gives_more_than_received,near_threshold,12,0.639115,100000002957787100;100000000332284100;100000003016635100;100000003159641100;100000005665181100;100000006111439100;100000002293421100;100000001616816100;100000004209339100;100000002696152100,исходящий поток выше видимого входа,много входящих переводов у порога 5-10 тыс. KZT
repeat_amount,sync_payers,8,0.857546,100000008603629100;100000000437046100;100000000331309100;100000004299488100;100000003684369100;100000006866783100;100000003016635100;100000002731501100,одна и та же сумма отправлялась многократно,несколько разных плательщиков в один день
relay_route,sync_payers,7,0.889954,100000008603629100;100000000437046100;100000002398779100;100000004299488100;100000006866783100;100000003016635100;100000007055802100,узел является посредником устойчивого маршрута пересылки,несколько разных плательщиков в один день
chain_transit,near_threshold,3,0.773817,100000002957787100;100000003016635100;100000002941114100,узел является внутренним звеном сквозной цепочки,много входящих переводов у порога 5-10 тыс. KZT
near_threshold,sync_payers,3,0.837398,100000000332284100;100000008546855100;100000003016635100,много входящих переводов у порога 5-10 тыс. KZT,несколько разных плательщиков в один день
near_threshold,relay_route,2,0.86293,100000002957787100;100000003016635100,много входящих переводов у порога 5-10 тыс. KZT,узел является посредником устойчивого маршрута пересылки
near_threshold,repeat_amount,2,0.57261,100000003016635100;100000001893287100,много входящих переводов у порога 5-10 тыс. KZT,одна и та же сумма отправлялась многократно
boundary_likely_continues,sync_payers,1,0.2999,100000004652395100,граничный узел с вероятным скрытым исходящим продолжением,несколько разных плательщиков в один день
